quarter_id,quarter_label,reference_time,metric_beat,measure_id,status
72,Q73,26.40108843537415,3,M18,VALIDATED_PI_ORIGIN_PROPAGATED
73,Q74,26.772607709750567,4,M18,VALIDATED_PI_ORIGIN_PROPAGATED
74,Q75,27.144126984126984,1,M19,VALIDATED_PI_ORIGIN_PROPAGATED
75,Q76,27.515646258503402,2,M19,VALIDATED_PI_ORIGIN_PROPAGATED
76,Q77,27.88716553287982,3,M19,VALIDATED_PI_ORIGIN_PROPAGATED
77,Q78,28.23546485260771,4,M19,VALIDATED_PI_ORIGIN_PROPAGATED
78,Q79,28.606984126984127,1,M20,VALIDATED_PI_ORIGIN_PROPAGATED
79,Q80,28.955283446712016,2,M20,VALIDATED_PI_ORIGIN_PROPAGATED
80,Q81,29.326802721088434,3,M20,VALIDATED_PI_ORIGIN_PROPAGATED
81,Q82,29.675102040816327,4,M20,VALIDATED_PI_ORIGIN_PROPAGATED
82,Q83,30.046621315192745,1,M21,VALIDATED_PI_ORIGIN_PROPAGATED
83,Q84,30.394920634920634,2,M21,VALIDATED_PI_ORIGIN_PROPAGATED
84,Q85,30.743219954648527,3,M21,VALIDATED_PI_ORIGIN_PROPAGATED
85,Q86,31.114739229024945,4,M21,VALIDATED_PI_ORIGIN_PROPAGATED
86,Q87,31.463038548752834,1,M22,VALIDATED_PI_ORIGIN_PROPAGATED
87,Q88,31.834557823129252,2,M22,VALIDATED_PI_ORIGIN_PROPAGATED
88,Q89,32.182857142857145,3,M22,VALIDATED_PI_ORIGIN_PROPAGATED
89,Q90,32.53115646258503,4,M22,VALIDATED_PI_ORIGIN_PROPAGATED
90,Q91,32.90267573696145,1,M23,VALIDATED_PI_ORIGIN_PROPAGATED
91,Q92,33.274195011337866,2,M23,VALIDATED_PI_ORIGIN_PROPAGATED
92,Q93,33.62249433106576,3,M23,VALIDATED_PI_ORIGIN_PROPAGATED
93,Q94,33.99401360544218,4,M23,VALIDATED_PI_ORIGIN_PROPAGATED
94,Q95,34.365532879818595,1,M24,VALIDATED_PI_ORIGIN_PROPAGATED
95,Q96,34.71383219954649,2,M24,VALIDATED_PI_ORIGIN_PROPAGATED
96,Q97,35.085351473922906,3,M24,VALIDATED_PI_ORIGIN_PROPAGATED
97,Q98,35.456870748299316,4,M24,VALIDATED_PI_ORIGIN_PROPAGATED
98,Q99,35.828390022675734,1,M25,VALIDATED_PI_ORIGIN_PROPAGATED
99,Q100,36.19990929705215,2,M25,VALIDATED_PI_ORIGIN_PROPAGATED
100,Q101,36.57142857142857,3,M25,VALIDATED_PI_ORIGIN_PROPAGATED
101,Q102,36.94294784580499,4,M25,VALIDATED_PI_ORIGIN_PROPAGATED
102,Q103,37.314467120181405,1,M26,VALIDATED_PI_ORIGIN_PROPAGATED
103,Q104,37.68598639455782,2,M26,VALIDATED_PI_ORIGIN_PROPAGATED
104,Q105,38.05750566893424,3,M26,VALIDATED_PI_ORIGIN_PROPAGATED
105,Q106,38.42902494331066,4,M26,VALIDATED_PI_ORIGIN_PROPAGATED
106,Q107,38.77732426303855,1,M27,VALIDATED_PI_ORIGIN_PROPAGATED
107,Q108,39.14884353741497,2,M27,VALIDATED_PI_ORIGIN_PROPAGATED
108,Q109,39.52036281179139,3,M27,VALIDATED_PI_ORIGIN_PROPAGATED
109,Q110,39.8918820861678,4,M27,VALIDATED_PI_ORIGIN_PROPAGATED
110,Q111,40.263401360544215,1,M28,VALIDATED_PI_ORIGIN_PROPAGATED
111,Q112,40.61170068027211,2,M28,VALIDATED_PI_ORIGIN_PROPAGATED
112,Q113,40.983219954648526,3,M28,VALIDATED_PI_ORIGIN_PROPAGATED
113,Q114,41.35473922902494,4,M28,VALIDATED_PI_ORIGIN_PROPAGATED
114,Q115,41.72625850340136,1,M29,VALIDATED_PI_ORIGIN_PROPAGATED
115,Q116,42.09777777777778,2,M29,VALIDATED_PI_ORIGIN_PROPAGATED
116,Q117,42.4692970521542,3,M29,VALIDATED_PI_ORIGIN_PROPAGATED
117,Q118,42.81759637188209,4,M29,VALIDATED_PI_ORIGIN_PROPAGATED
118,Q119,43.1891156462585,1,M30,VALIDATED_PI_ORIGIN_PROPAGATED
119,Q120,43.56063492063492,2,M30,VALIDATED_PI_ORIGIN_PROPAGATED
120,Q121,43.932154195011336,3,M30,VALIDATED_PI_ORIGIN_PROPAGATED
121,Q122,44.30367346938775,4,M30,VALIDATED_PI_ORIGIN_PROPAGATED
122,Q123,44.698412698412696,1,M31,VALIDATED_PI_ORIGIN_PROPAGATED
123,Q124,45.069931972789114,2,M31,VALIDATED_PI_ORIGIN_PROPAGATED
124,Q125,45.44145124716553,3,M31,VALIDATED_PI_ORIGIN_PROPAGATED
125,Q126,45.836190476190474,4,M31,VALIDATED_PI_ORIGIN_PROPAGATED
126,Q127,46.23092970521542,1,M32,VALIDATED_PI_ORIGIN_PROPAGATED
127,Q128,46.625668934240366,2,M32,VALIDATED_PI_ORIGIN_PROPAGATED
128,Q129,47.02040816326531,3,M32,VALIDATED_PI_ORIGIN_PROPAGATED
129,Q130,47.391927437641726,4,M32,VALIDATED_PI_ORIGIN_PROPAGATED
130,Q131,47.78666666666667,1,M33,VALIDATED_PI_ORIGIN_PROPAGATED
131,Q132,48.15818594104309,2,M33,VALIDATED_PI_ORIGIN_PROPAGATED
132,Q133,48.529705215419504,3,M33,VALIDATED_PI_ORIGIN_PROPAGATED
133,Q134,48.901224489795915,4,M33,VALIDATED_PI_ORIGIN_PROPAGATED
134,Q135,49.27274376417233,1,M34,VALIDATED_PI_ORIGIN_PROPAGATED
135,Q136,49.64426303854875,2,M34,VALIDATED_PI_ORIGIN_PROPAGATED
136,Q137,50.01578231292517,3,M34,VALIDATED_PI_ORIGIN_PROPAGATED
137,Q138,50.387301587301586,4,M34,VALIDATED_PI_ORIGIN_PROPAGATED
138,Q139,50.758820861678004,1,M35,VALIDATED_PI_ORIGIN_PROPAGATED
139,Q140,51.1071201814059,2,M35,VALIDATED_PI_ORIGIN_PROPAGATED
140,Q141,51.478639455782314,3,M35,VALIDATED_PI_ORIGIN_PROPAGATED
141,Q142,51.85015873015873,4,M35,VALIDATED_PI_ORIGIN_PROPAGATED
142,Q143,52.22167800453515,1,M36,VALIDATED_PI_ORIGIN_PROPAGATED
143,Q144,52.59319727891157,2,M36,VALIDATED_PI_ORIGIN_PROPAGATED
144,Q145,52.964716553287985,3,M36,VALIDATED_PI_ORIGIN_PROPAGATED
145,Q146,53.336235827664396,4,M36,VALIDATED_PI_ORIGIN_PROPAGATED
146,Q147,53.707755102040814,1,M37,VALIDATED_PI_ORIGIN_PROPAGATED
147,Q148,54.07927437641723,2,M37,VALIDATED_PI_ORIGIN_PROPAGATED
148,Q149,54.427573696145124,3,M37,VALIDATED_PI_ORIGIN_PROPAGATED
149,Q150,54.79909297052154,4,M37,VALIDATED_PI_ORIGIN_PROPAGATED
150,Q151,55.17061224489796,1,M38,VALIDATED_PI_ORIGIN_PROPAGATED
151,Q152,55.54213151927438,2,M38,VALIDATED_PI_ORIGIN_PROPAGATED
152,Q153,55.89043083900227,3,M38,VALIDATED_PI_ORIGIN_PROPAGATED
153,Q154,56.26195011337869,4,M38,VALIDATED_PI_ORIGIN_PROPAGATED
154,Q155,56.610249433106574,1,M39,VALIDATED_PI_ORIGIN_PROPAGATED
155,Q156,56.98176870748299,2,M39,VALIDATED_PI_ORIGIN_PROPAGATED
156,Q157,57.330068027210885,3,M39,VALIDATED_PI_ORIGIN_PROPAGATED
157,Q158,57.67836734693878,4,M39,VALIDATED_PI_ORIGIN_PROPAGATED
158,Q159,58.026666666666664,1,M40,VALIDATED_PI_ORIGIN_PROPAGATED
159,Q160,58.39818594104308,2,M40,VALIDATED_PI_ORIGIN_PROPAGATED
160,Q161,58.746485260770974,3,M40,VALIDATED_PI_ORIGIN_PROPAGATED
161,Q162,59.11800453514739,4,M40,VALIDATED_PI_ORIGIN_PROPAGATED
162,Q163,59.466303854875285,1,M41,VALIDATED_PI_ORIGIN_PROPAGATED
163,Q164,59.8378231292517,2,M41,VALIDATED_PI_ORIGIN_PROPAGATED
164,Q165,60.20934240362812,3,M41,VALIDATED_PI_ORIGIN_PROPAGATED
165,Q166,60.58086167800454,4,M41,VALIDATED_PI_ORIGIN_PROPAGATED
166,Q167,60.929160997732424,1,M42,VALIDATED_PI_ORIGIN_PROPAGATED
167,Q168,61.32390022675737,2,M42,VALIDATED_PI_ORIGIN_PROPAGATED
168,Q169,61.695419501133784,3,M42,VALIDATED_PI_ORIGIN_PROPAGATED
169,Q170,62.0669387755102,4,M42,VALIDATED_PI_ORIGIN_PROPAGATED
170,Q171,62.43845804988662,1,M43,VALIDATED_PI_ORIGIN_PROPAGATED
171,Q172,62.80997732426304,2,M43,VALIDATED_PI_ORIGIN_PROPAGATED
172,Q173,63.181496598639455,3,M43,VALIDATED_PI_ORIGIN_PROPAGATED
173,Q174,63.52979591836735,4,M43,VALIDATED_PI_ORIGIN_PROPAGATED
174,Q175,63.901315192743766,1,M44,VALIDATED_PI_ORIGIN_PROPAGATED
175,Q176,64.27283446712018,2,M44,VALIDATED_PI_ORIGIN_PROPAGATED
176,Q177,64.62113378684808,3,M44,VALIDATED_PI_ORIGIN_PROPAGATED
177,Q178,64.99265306122449,4,M44,VALIDATED_PI_ORIGIN_PROPAGATED
178,Q179,65.34095238095239,1,M45,VALIDATED_PI_ORIGIN_PROPAGATED
179,Q180,65.68925170068027,2,M45,VALIDATED_PI_ORIGIN_PROPAGATED
180,Q181,66.06077097505668,3,M45,VALIDATED_PI_ORIGIN_PROPAGATED
181,Q182,66.40907029478458,4,M45,VALIDATED_PI_ORIGIN_PROPAGATED
182,Q183,66.780589569161,1,M46,VALIDATED_PI_ORIGIN_PROPAGATED
183,Q184,67.1288888888889,2,M46,VALIDATED_PI_ORIGIN_PROPAGATED
184,Q185,67.47718820861678,3,M46,VALIDATED_PI_ORIGIN_PROPAGATED
185,Q186,67.84870748299319,4,M46,VALIDATED_PI_ORIGIN_PROPAGATED
186,Q187,68.19700680272109,1,M47,VALIDATED_PI_ORIGIN_PROPAGATED
187,Q188,68.5685260770975,2,M47,VALIDATED_PI_ORIGIN_PROPAGATED
188,Q189,68.9168253968254,3,M47,VALIDATED_PI_ORIGIN_PROPAGATED
189,Q190,69.28834467120181,4,M47,VALIDATED_PI_ORIGIN_PROPAGATED
190,Q191,69.6366439909297,1,M48,VALIDATED_PI_ORIGIN_PROPAGATED
191,Q192,69.9849433106576,2,M48,VALIDATED_PI_ORIGIN_PROPAGATED
192,Q193,70.35646258503401,3,M48,VALIDATED_PI_ORIGIN_PROPAGATED
193,Q194,70.70476190476191,4,M48,VALIDATED_PI_ORIGIN_PROPAGATED
194,Q195,71.07628117913832,1,M49,VALIDATED_PI_ORIGIN_PROPAGATED
195,Q196,71.42458049886622,2,M49,VALIDATED_PI_ORIGIN_PROPAGATED
196,Q197,71.79609977324263,3,M49,VALIDATED_PI_ORIGIN_PROPAGATED
197,Q198,72.14439909297052,4,M49,VALIDATED_PI_ORIGIN_PROPAGATED
198,Q199,72.51591836734694,1,M50,VALIDATED_PI_ORIGIN_PROPAGATED
199,Q200,72.86421768707483,2,M50,VALIDATED_PI_ORIGIN_PROPAGATED
200,Q201,73.23573696145125,3,M50,VALIDATED_PI_ORIGIN_PROPAGATED
201,Q202,73.60725623582766,4,M50,VALIDATED_PI_ORIGIN_PROPAGATED
202,Q203,73.95555555555555,1,M51,VALIDATED_PI_ORIGIN_PROPAGATED
203,Q204,74.32707482993197,2,M51,VALIDATED_PI_ORIGIN_PROPAGATED
204,Q205,74.67537414965986,3,M51,VALIDATED_PI_ORIGIN_PROPAGATED
205,Q206,75.04689342403628,4,M51,VALIDATED_PI_ORIGIN_PROPAGATED
