source,quarter_id,event_id,timestamp,offset_ms,original_state
BASS,2,F_MIX_00000,0.7198185941043084,-92.8798185941043000,BASS_AND_DRUM_SUPPORTED
DRUM,2,F_MIX_00001,0.8359183673469388,23.2199546485261000,DRUM_SUPPORTED
DRUM,3,F_MIX_00003,1.230657596371882,46.439909297052000,DRUM_SUPPORTED
DRUM,5,F_MIX_00008,1.9736961451247166,46.4399092970522000,DRUM_SUPPORTED
DRUM,7,F_MIX_00012,2.705124716553288,34.829931972789000,DRUM_SUPPORTED
DRUM,8,F_MIX_00015,3.076643990929705,34.8299319727887000,DRUM_SUPPORTED
DRUM,9,F_MIX_00017,3.436553287981859,23.2199546485254000,DRUM_SUPPORTED
DRUM,10,F_MIX_00019,3.7964625850340137,11.6099773242633000,DRUM_SUPPORTED
DRUM,11,F_MIX_00021,4.191201814058957,34.829931972789000,DRUM_SUPPORTED
DRUM,13,F_MIX_00025,4.899410430839002,23.219954648525000,DRUM_SUPPORTED
BASS,14,F_MIX_00026,5.154829931972789,-69.659863945578000,BASS_SUPPORTED
DRUM,14,F_MIX_00027,5.259319727891157,34.829931972790000,DRUM_SUPPORTED
DRUM,17,F_MIX_00034,6.339047619047619,23.219954648526000,DRUM_SUPPORTED
DRUM,19,F_MIX_00038,7.070476190476191,58.049886621316000,DRUM_SUPPORTED
DRUM,21,F_MIX_00040,7.790294784580499,58.049886621315000,DRUM_SUPPORTED
BASS,22,F_MIX_00041,8.034104308390022,-69.659863945580000,BASS_SUPPORTED
DRUM,22,F_MIX_00042,8.13859410430839,34.829931972788000,DRUM_SUPPORTED
BASS,26,F_MIX_00049,9.601451247165533,58.049886621315000,BASS_AND_DRUM_SUPPORTED
DRUM,26,F_MIX_00048,9.508571428571429,-34.829931972789000,DRUM_SUPPORTED
DRUM,27,F_MIX_00050,9.868480725623582,-46.439909297054000,DRUM_SUPPORTED
BASS,28,F_MIX_00053,10.356099773242631,69.659863945579000,BASS_AND_DRUM_SUPPORTED
DRUM,28,F_MIX_00052,10.216780045351474,-69.659863945578000,DRUM_SUPPORTED
DRUM,29,F_MIX_00055,10.716009070294785,81.269841269842000,DRUM_SUPPORTED
BASS,30,F_MIX_00056,10.936598639455783,-69.659863945577000,BASS_SUPPORTED
DRUM,31,F_MIX_00059,11.34294784580499,-34.829931972788000,DRUM_SUPPORTED
DRUM,32,F_MIX_00062,11.72607709750567,-23.219954648524000,DRUM_SUPPORTED
DRUM,35,F_MIX_00068,12.910294784580499,46.439909297052000,DRUM_SUPPORTED
BASS,36,F_MIX_00069,13.165714285714285,-69.659863945578000,BASS_AND_DRUM_SUPPORTED
DRUM,36,F_MIX_00070,13.25859410430839,23.219954648527000,DRUM_SUPPORTED
DRUM,37,F_MIX_00073,13.64172335600907,34.829931972789000,DRUM_SUPPORTED
DRUM,39,F_MIX_00076,14.373151927437641,46.439909297051000,DRUM_SUPPORTED
DRUM,40,F_MIX_00078,14.733061224489797,34.829931972791000,DRUM_SUPPORTED
DRUM,43,F_MIX_00085,15.824399092970522,34.829931972789000,DRUM_SUPPORTED
DRUM,45,F_MIX_00088,16.555827664399093,23.219954648525000,DRUM_SUPPORTED
DRUM,47,F_MIX_00091,17.29886621315193,23.21995464853000,DRUM_SUPPORTED
DRUM,49,F_MIX_00097,18.04190476190476,23.219954648524000,DRUM_SUPPORTED
DRUM,50,F_MIX_00100,18.401814058956916,11.609977324263000,DRUM_SUPPORTED
DRUM,51,F_MIX_00102,18.784943310657596,23.219954648526000,DRUM_SUPPORTED
DRUM,53,F_MIX_00105,19.504761904761907,23.219954648529000,DRUM_SUPPORTED
BASS,54,F_MIX_00106,19.748571428571427,-81.269841269843000,BASS_SUPPORTED
DRUM,54,F_MIX_00108,19.86467120181406,34.82993197279000,DRUM_SUPPORTED
DRUM,56,F_MIX_00112,20.58448979591837,34.82993197279000,DRUM_SUPPORTED
DRUM,57,F_MIX_00113,20.839909297052156,-58.049886621312000,DRUM_SUPPORTED
DRUM,58,F_MIX_00116,21.304308390022676,58.049886621316000,DRUM_SUPPORTED
DRUM,59,F_MIX_00117,21.559727891156463,-58.049886621317000,DRUM_SUPPORTED
DRUM,60,F_MIX_00118,21.93124716553288,-34.829931972788000,DRUM_SUPPORTED
DRUM,61,F_MIX_00120,22.27954648526077,-58.049886621316000,DRUM_SUPPORTED
DRUM,62,F_MIX_00122,22.651065759637188,-34.829931972792000,DRUM_SUPPORTED
DRUM,64,F_MIX_00126,23.394104308390023,-34.829931972787000,DRUM_SUPPORTED
DRUM,66,F_MIX_00130,24.18358276643991,11.609977324264000,DRUM_SUPPORTED
DRUM,71,F_MIX_00142,26.041179138321997,11.609977324267000,DRUM_SUPPORTED
DRUM,72,F_MIX_00145,26.40108843537415,0E-14,DRUM_SUPPORTED
DRUM,73,F_MIX_00149,26.772607709750567,0E-15,DRUM_SUPPORTED
DRUM,76,F_MIX_00152,27.805895691609976,-81.269841269844000,DRUM_SUPPORTED
DRUM,81,F_MIX_00160,29.68671201814059,11.609977324263000,DRUM_SUPPORTED
DRUM,82,F_MIX_00162,30.06984126984127,23.219954648525000,DRUM_SUPPORTED
DRUM,83,F_MIX_00163,30.37170068027211,-23.219954648524000,DRUM_SUPPORTED
DRUM,84,F_MIX_00165,30.778049886621314,34.829931972787000,DRUM_SUPPORTED
DRUM,85,F_MIX_00167,31.13795918367347,23.219954648525000,DRUM_SUPPORTED
DRUM,86,F_MIX_00169,31.509478458049887,46.439909297053000,DRUM_SUPPORTED
DRUM,87,F_MIX_00170,31.86938775510204,34.829931972788000,DRUM_SUPPORTED
DRUM,89,F_MIX_00173,32.496326530612244,-34.829931972786000,DRUM_SUPPORTED
