event_id,section,IN_SCOPE,native_s,source_state,reference_available,PLP_peak_index,PLP_s,marker_offset_ms,PLP_interval_BPM,source_confidence,timing_kind,timing_confidence,numerical_attack_uncertainty_ms,performer_ahead_on_behind,coordinate_sign,native_grid_ms,source_context,source_adapter_sha256,ADTOF_event_id,ADTOF_distance_ms,MU_U_BASS_event_id,MU_U_DRUM_event_id,MU_C_DRUM_event_id,historical_Bass_links,exclusion_reason
F_MIX_00010,M1,True,2.3219954648526078,BASS_AND_DRUM_SUPPORTED,True,6,2.3219954648526078,0.0,172.26562499999997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,ZERO,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_0,11.995464852607718,UNCONSTRAINED_NEW_000_21,UNCONSTRAINED_NEW_000_22,TRIO_CONDITIONED_NEW_000_19,BASS_00004,
F_MIX_00011,M1,True,2.6238548752834467,UNKNOWN,True,7,2.670294784580499,-46.43990929705222,172.26562499999997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_1,66.1451247165532,UNCONSTRAINED_NEW_000_21,UNCONSTRAINED_NEW_000_25,TRIO_CONDITIONED_NEW_000_21,,
F_MIX_00012,M1,True,2.705124716553288,DRUM_SUPPORTED,True,7,2.670294784580499,34.82993197278894,161.49902343749997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_1,15.124716553287954,UNCONSTRAINED_NEW_000_28,UNCONSTRAINED_NEW_000_25,TRIO_CONDITIONED_NEW_000_21,,
F_MIX_00013,M1,True,2.9605442176870747,UNKNOWN,True,8,3.0418140589569163,-81.2698412698416,161.49902343749997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_1,99.45578231292541,UNCONSTRAINED_NEW_000_28,UNCONSTRAINED_NEW_000_27,TRIO_CONDITIONED_NEW_000_22,,
F_MIX_00014,M1,True,2.995374149659864,UNKNOWN,True,8,3.0418140589569163,-46.43990929705222,161.49902343749997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_1,64.62585034013601,UNCONSTRAINED_NEW_000_28,UNCONSTRAINED_NEW_000_29,TRIO_CONDITIONED_NEW_000_24,,
F_MIX_00015,M1,True,3.076643990929705,DRUM_SUPPORTED,True,8,3.0418140589569163,34.82993197278894,161.49902343749997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_1,16.643990929705144,UNCONSTRAINED_NEW_000_28,UNCONSTRAINED_NEW_000_29,TRIO_CONDITIONED_NEW_000_24,BASS_00005,
F_MIX_00016,M1,True,3.308843537414966,UNKNOWN,True,9,3.4133333333333336,-104.48979591836772,161.49902343749997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_2,111.15646258503409,UNCONSTRAINED_NEW_000_34,UNCONSTRAINED_NEW_000_33,TRIO_CONDITIONED_NEW_000_28,,
F_MIX_00017,M1,True,3.436553287981859,DRUM_SUPPORTED,True,9,3.4133333333333336,23.219954648525665,161.49902343750017,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_2,16.553287981859288,UNCONSTRAINED_NEW_000_34,UNCONSTRAINED_NEW_000_35,TRIO_CONDITIONED_NEW_000_28,BASS_00006,
F_MIX_00018,M1,True,3.6919727891156464,DRUM_SUPPORTED,True,10,3.7848526077097504,-92.879818594104,161.49902343750017,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_3,21.972789115646485,UNCONSTRAINED_NEW_000_40,UNCONSTRAINED_NEW_000_39,TRIO_CONDITIONED_NEW_000_31,,
F_MIX_00019,M1,True,3.7964625850340137,DRUM_SUPPORTED,True,10,3.7848526077097504,11.609977324263276,161.49902343749997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_8,6.462585034013646,UNCONSTRAINED_NEW_000_40,UNCONSTRAINED_NEW_000_41,TRIO_CONDITIONED_NEW_000_33,,
