event_id,string,dynamic,take,pass1_center_s,pass2_center_s,pass1_earliest_s,pass1_latest_s,pass2_earliest_s,pass2_latest_s,delta_ms,absolute_delta_ms,interval_overlap,review_flags
GAL09_20260914_S1_A_MF_R03,A,mf,20260914_0029,37.25462358276643990929705215,37.25457142857142857142857143,37.25362358276643990929705215,37.25562358276643990929705215,37.25357142857142857142857143,37.25557142857142857142857143,-0.05215419501133787,0.05215419501133787,True,
GAL09_20260914_S1_A_MF_R04,A,mf,20260914_0029,52.29042630385487528344671202,52.29007709750566893424036281,52.28942630385487528344671202,52.29142630385487528344671202,52.28907709750566893424036281,52.29107709750566893424036281,-0.3492063492063492,0.3492063492063492,True,
GAL09_20260914_S1_D_MF_R09,D,mf,20260914_0030,134.1785283446712018140589569,134.1781224489795918367346939,134.1775283446712018140589569,134.1795283446712018140589569,134.1771224489795918367346939,134.1791224489795918367346939,-0.40589569160997735,0.40589569160997735,True,
GAL09_20260914_S1_D_MF_R10,D,mf,20260914_0030,152.3330453514739229024943311,152.3327981859410430839002268,152.3320453514739229024943311,152.3340453514739229024943311,152.3317981859410430839002268,152.3337981859410430839002268,-0.2471655328798186,0.2471655328798186,True,
GAL09_20260914_S1_E_MF_R03,E,mf,20260914_0028,35.00548979591836734693877551,35.00514512471655328798185941,35.00448979591836734693877551,35.00648979591836734693877551,35.00414512471655328798185941,35.00614512471655328798185941,-0.34467120181405897,0.34467120181405897,True,
GAL09_20260914_S1_E_MF_R06,E,mf,20260914_0028,80.13912471655328798185941043,80.13909070294784580498866213,80.13812471655328798185941043,80.14012471655328798185941043,80.13809070294784580498866213,80.14009070294784580498866213,-0.034013605442176874,0.034013605442176874,True,
GAL09_20260914_S1_G_MF_R06,G,mf,20260914_0031,79.96966213151927437641723356,79.96950793650793650793650794,79.96866213151927437641723356,79.97066213151927437641723356,79.96850793650793650793650794,79.97050793650793650793650794,-0.15419501133786848,0.15419501133786848,True,
GAL09_20260914_S1_G_MF_R07,G,mf,20260914_0031,96.28688208616780045351473923,96.28658049886621315192743764,96.28588208616780045351473923,96.28788208616780045351473923,96.28558049886621315192743764,96.28758049886621315192743764,-0.30158730158730157,0.30158730158730157,True,
GAL09_20260914_S2_A_CN_R07,A,COMFORTABLE_NATURAL,20260914_0034,85.37470521541950113378684807,85.37441269841269841269841270,85.37370521541950113378684807,85.37570521541950113378684807,85.37341269841269841269841270,85.37541269841269841269841270,-0.2925170068027211,0.2925170068027211,True,
GAL09_20260914_S2_A_CN_R10,A,COMFORTABLE_NATURAL,20260914_0034,127.4098707482993197278911565,127.4099410430839002267573696,127.4088707482993197278911565,127.4108707482993197278911565,127.4089410430839002267573696,127.4109410430839002267573696,0.07029478458049887,0.07029478458049887,True,
