instrument,event_ID,original_time_s,quarter_ID,Bass_provenance,role,PLP_indexing_offset_ms,system,render_x_s,additional_visual
BASS,HF001,47.757460317460314,Q131,B,QUARTER_FIT_OBSERVATION,-29.206349206356000,1,47.757460317460314,False
BASS,HF002,48.16816326530612,Q132,A,QUARTER_FIT_OBSERVATION,9.97732426303000,1,48.16816326530612,False
BASS,HF003,48.10114784580499,Q132,C,ADDITIONAL_EVENT,-57.03809523810000,1,48.10114784580499,True
BASS,HF004,48.577156916099774,Q133,C,QUARTER_FIT_OBSERVATION,47.451700680270000,1,48.577156916099774,False
BASS,HF006,48.92181405895692,Q134,B,QUARTER_FIT_OBSERVATION,20.589569161005000,1,48.92181405895692,False
BASS,HF005,48.761814058956915,Q134,A,ADDITIONAL_EVENT,-139.410430839000000,1,48.761814058956915,True
BASS,HF007,49.32390022675737,Q135,B,QUARTER_FIT_OBSERVATION,51.15646258504000,1,49.32390022675737,False
BASS,HF008,49.669778684807255,Q136,C,QUARTER_FIT_OBSERVATION,25.515646258505000,1,49.669778684807255,False
BASS,HF009,50.04925170068027,Q137,B,QUARTER_FIT_OBSERVATION,33.46938775510000,1,50.04925170068027,False
BASS,HF010,50.35476734693877,Q138,C,QUARTER_FIT_OBSERVATION,-32.534240362816000,1,50.35476734693877,False
BASS,HF011,51.18035963718821,Q140,C,QUARTER_FIT_OBSERVATION,73.23945578231000,1,51.18035963718821,False
BASS,HF013,51.87695827664399,Q142,C,QUARTER_FIT_OBSERVATION,26.79954648526000,1,51.87695827664399,False
BASS,HF012,51.71111111111111,Q142,A,ADDITIONAL_EVENT,-139.04761904762000,1,51.71111111111111,True
BASS,HF014,52.31174603174603,Q143,A,QUARTER_FIT_OBSERVATION,90.06802721088000,1,52.31174603174603,False
BASS,HF015,52.573556916099776,Q144,C,QUARTER_FIT_OBSERVATION,-19.640362811794000,1,52.573556916099776,False
BASS,HF016,52.980589569161,Q145,B,QUARTER_FIT_OBSERVATION,15.873015873015000,1,52.980589569161,False
BASS,HF017,53.347755102040814,Q146,B,QUARTER_FIT_OBSERVATION,11.519274376418000,1,53.347755102040814,False
DRUM,F_MIX_00253,48.12335600907029,Q132,,QUARTER_FIT_OBSERVATION,-34.82993197280000,1,48.12335600907029,False
DRUM,F_MIX_00254,48.54131519274377,Q133,,QUARTER_FIT_OBSERVATION,11.609977324266000,1,48.54131519274377,False
DRUM,F_MIX_00255,48.901224489795915,Q134,,QUARTER_FIT_OBSERVATION,0E-15,1,48.901224489795915,False
DRUM,F_MIX_00257,49.284353741496595,Q135,,QUARTER_FIT_OBSERVATION,11.609977324265000,1,49.284353741496595,False
DRUM,F_MIX_00258,49.31918367346939,Q135,,ADDITIONAL_EVENT,46.43990929706000,1,49.31918367346939,True
DRUM,F_MIX_00256,49.191473922902496,Q135,,ADDITIONAL_EVENT,-81.269841269834000,1,49.191473922902496,True
DRUM,F_MIX_00259,49.65587301587301,Q136,,QUARTER_FIT_OBSERVATION,11.60997732426000,1,49.65587301587301,False
DRUM,F_MIX_00260,50.01578231292517,Q137,,QUARTER_FIT_OBSERVATION,0E-14,1,50.01578231292517,False
DRUM,F_MIX_00261,50.39891156462585,Q138,,QUARTER_FIT_OBSERVATION,11.609977324264000,1,50.39891156462585,False
DRUM,F_MIX_00262,50.758820861678004,Q139,,QUARTER_FIT_OBSERVATION,0E-15,1,50.758820861678004,False
DRUM,F_MIX_00264,51.13034013605442,Q140,,QUARTER_FIT_OBSERVATION,23.21995464852000,1,51.13034013605442,False
DRUM,F_MIX_00270,52.244897959183675,Q143,,QUARTER_FIT_OBSERVATION,23.219954648525000,1,52.244897959183675,False
DRUM,F_MIX_00269,52.186848072562356,Q143,,ADDITIONAL_EVENT,-34.829931972794000,1,52.186848072562356,True
DRUM,F_MIX_00272,52.61641723356009,Q144,,QUARTER_FIT_OBSERVATION,23.21995464852000,1,52.61641723356009,False
DRUM,F_MIX_00271,52.523537414965986,Q144,,ADDITIONAL_EVENT,-69.659863945584000,1,52.523537414965986,True
DRUM,F_MIX_00274,52.97632653061225,Q145,,QUARTER_FIT_OBSERVATION,11.609977324265000,1,52.97632653061225,False
DRUM,F_MIX_00275,53.324625850340134,Q146,,QUARTER_FIT_OBSERVATION,-11.609977324262000,1,53.324625850340134,False
DRUM,F_MIX_00277,53.69614512471655,Q147,,QUARTER_FIT_OBSERVATION,-11.609977324264000,1,53.69614512471655,False
DRUM,F_MIX_00276,53.614875283446715,Q147,,ADDITIONAL_EVENT,-92.879818594099000,1,53.614875283446715,True
BASS,HF018,53.71591836734694,Q147,B,QUARTER_FIT_OBSERVATION,8.163265306126000,2,53.71591836734694,False
BASS,HF019,54.41233560090703,Q149,B,QUARTER_FIT_OBSERVATION,-15.238095238094000,2,54.41233560090703,False
BASS,HF020,54.78349206349206,Q150,B,QUARTER_FIT_OBSERVATION,-15.60090702948000,2,54.78349206349206,False
BASS,HF021,55.16462585034014,Q151,B,QUARTER_FIT_OBSERVATION,-5.98639455782000,2,55.16462585034014,False
BASS,HF022,55.53578231292517,Q152,B,QUARTER_FIT_OBSERVATION,-6.34920634921000,2,55.53578231292517,False
BASS,HF023,55.87335827664399,Q153,C,QUARTER_FIT_OBSERVATION,-17.07256235828000,2,55.87335827664399,False
BASS,HF024,56.22721088435374,Q154,B,QUARTER_FIT_OBSERVATION,-34.73922902495000,2,56.22721088435374,False
BASS,HF025,56.60834467120181,Q155,B,QUARTER_FIT_OBSERVATION,-1.904761904764000,2,56.60834467120181,False
BASS,HF026,56.95437006802721,Q156,C,QUARTER_FIT_OBSERVATION,-27.39863945578000,2,56.95437006802721,False
BASS,HF028,57.206984126984125,Q157,B,QUARTER_FIT_OBSERVATION,-123.083900226760000,2,57.206984126984125,False
BASS,HF027,57.181678004535144,Q157,A,ADDITIONAL_EVENT,-148.390022675741000,2,57.181678004535144,True
BASS,HF030,57.56969886621315,Q158,C,QUARTER_FIT_OBSERVATION,-108.66848072563000,2,57.56969886621315,False
BASS,HF029,57.51292517006803,Q158,A,ADDITIONAL_EVENT,-165.44217687075000,2,57.51292517006803,True
BASS,HF031,58.12697777777778,Q159,C,QUARTER_FIT_OBSERVATION,100.311111111116000,2,58.12697777777778,False
BASS,HF032,58.44044716553288,Q160,C,QUARTER_FIT_OBSERVATION,42.26122448980000,2,58.44044716553288,False
BASS,HF033,58.80335600907029,Q161,B,QUARTER_FIT_OBSERVATION,56.870748299316000,2,58.80335600907029,False
BASS,HF034,58.88162630385487,Q161,C,ADDITIONAL_EVENT,135.141043083896000,2,58.88162630385487,True
DRUM,F_MIX_00279,54.05605442176871,Q148,,QUARTER_FIT_OBSERVATION,-23.21995464852000,2,54.05605442176871,False
