measure,beat,quarter_ID,PLP_time_s,Bass_support_N_measure,Bass_grid_eligible,Bass_observed_support,Bass_event_ID,Bass_observed_time_s,BMIG_time_s,Bass_residual_ms,Bass_point_status,Bass_timing_provenance,Drum_support_N_measure,Drum_grid_eligible,Drum_observed_support,Drum_event_ID,Drum_observed_time_s,DMIG_time_s,Drum_residual_ms,Drum_point_status,Drum_timing_provenance,GRID_DELTA_ms,measure_comparison_eligible,notes
M37,2,Q148,54.07927437641723,3,YES,NO,,,54.07177626606198,,ESTIMATED_GRID_POINT_NO_OBSERVED_ONSET,,4,YES,YES,F_MIX_00279,54.05605442176871,54.05944066515495,-3.386243386245269,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,12.335600907029232,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M37,3,Q149,54.427573696145124,3,YES,YES,HF019,54.41233560090703,54.42763416477702,-15.29856386999029,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00281,54.427573696145124,54.42418745275888,3.386243386245269,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,3.4467120181389532,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M37,4,Q150,54.79909297052154,3,YES,YES,HF020,54.78349206349206,54.78349206349206,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00283,54.78748299319728,54.78893424036281,-1.4512471655336867,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-5.442176870751325,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M38,1,Q151,55.17061224489796,4,YES,YES,HF021,55.16462585034014,55.16522505668935,-0.5992063492143984,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00284,55.147392290249435,55.14594104308391,1.4512471655265813,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,19.28401360544285,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M38,2,Q152,55.54213151927438,4,YES,YES,HF022,55.53578231292517,55.51924886621316,16.533446712010402,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00285,55.50730158730159,55.510687830687836,-3.386243386245269,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,8.561035525325167,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M38,3,Q153,55.89043083900227,4,YES,YES,HF023,55.87335827664399,55.87327267573696,0.08560090702758316,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00287,55.878820861678,55.87543461829176,3.3862433862381636,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-2.161942554799623,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M38,4,Q154,56.26195011337869,4,YES,YES,HF024,56.22721088435374,56.22729648526077,-0.08560090703468859,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00289,56.23873015873016,56.2401814058957,-1.4512471655407921,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-12.884920634924413,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M39,1,Q155,56.610249433106574,4,YES,YES,HF025,56.60834467120181,56.61793492063492,-9.590249433109932,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00291,56.610249433106574,56.60734693877551,2.9024943310673734,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,10.587981859416118,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M39,2,Q156,56.98176870748299,4,YES,YES,HF026,56.95437006802721,56.931992819349965,22.377248677244665,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00292,56.95854875283447,56.96145124716553,-2.902494331060268,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-29.458427815562516,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M39,3,Q157,57.330068027210885,4,YES,YES,HF028,57.206984126984125,57.24605071806501,-39.06659108088206,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00293,57.225578231292516,57.315555555555555,-89.97732426303884,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-69.50483749054825,YES,Original observations retained; grids are mathematical estimates; no GT validation.
