clip_id,BP_id,candidate_id,time_s,label,log_flux_peak,log_prominence,log_width_ms,log_rise_ms,rise_slope_norm,decay_slope_norm,log_flux_integral,flux_post_pre_logratio,peak_local_mean_ratio,peak_local_max_ratio,rms_pre_log,rms_post_pre_logratio,low_energy_pre_log,low_energy_post_pre_logratio,broad_energy_post_pre_logratio,centroid_change,spectral_slope_change,late_low_energy_persistence,low_spectral_concentration_change,BP_signed_distance_ms,BP_absolute_distance_ms,BP_relative_activity_position
T01,T01_N001,T01_N001_F6286396,142.54866213151925,UNLABELLED_BP_CORRESPONDENCE,-4.338044235850548,-4.342617846050707,2.0036407085447143,3.3651040482871304,0.03534014755354869,0.11026761741388681,-6.200963299432107,-0.03082195599736881,3.5655721641863782,0.9546146617903382,-2.705776955718125,-0.0041698228578455065,-5.533870030470068,-0.01836683319497112,-0.017879812746464552,0.0004243361056575168,0.03983108541187641,0.007115128513572877,-0.00048702044850748973,-147.8462585034208,147.8462585034208,-0.08960918694756653
T01,T01_N001,T01_N001_F6286572,142.55265306122448,UNLABELLED_BP_CORRESPONDENCE,-4.588412767862473,-5.86565767695781,0.467956271426642,0.6920127504893335,0.052814733280780284,0.1972977664675721,-6.138963242098014,0.1783702042822286,1.736843314459159,0.4710529435969449,-2.705820031653538,-0.003711208801504995,-5.531549086630212,-0.022983677129365,-0.022468465807454763,0.0007153942236372756,0.029355591249178747,0.010756831125208421,-0.0005152113219108133,-143.85532879819607,143.85532879819607,-0.08719029606950075
T01,T01_N001,T01_N001_F6286924,142.5606349206349,UNLABELLED_BP_CORRESPONDENCE,-5.092912211254424,-5.125024469600811,1.3677122097381518,1.38459223304936,0.3189429927767435,0.3095754314989685,-6.0935818983230385,0.41708048364361705,0.48964334269750603,0.12622408249256253,-2.706514782280485,-0.0016984866395501896,-5.541400571786141,0.005515056363712745,0.006807354067352556,-0.0007382306902157722,0.0014798613393798288,-0.015599934612160027,-0.0012922977036397406,-135.873469387775,135.873469387775,-0.0823525143133864
T01,T01_N001,T01_N001_F6287144,142.56562358276642,UNLABELLED_BP_CORRESPONDENCE,-5.163737248881633,-5.65886108480218,1.0422583154363816,1.0970994290754792,0.45805073265006624,0.15989915489964898,-6.100821214966982,0.16777064711878076,0.42295497054518855,0.10723021701340212,-2.7066756825503004,-0.0014363685757023958,-5.543231116534611,0.011140918095588148,0.01230995149133296,-0.0010185425213926039,-0.0022297984848114183,-0.024701094937918278,-0.001169033395744573,-130.88480725625118,130.88480725625118,-0.07932890071580848
T01,T01_N001,T01_N001_F6287452,142.57260770975054,UNLABELLED_BP_CORRESPONDENCE,-4.389470200679164,-5.296572333913964,1.0120185038334086,2.770460609072287,0.06609694982634634,0.06192526462078021,-6.111733251186593,0.09199678471803896,2.579129907521292,0.63765274429655,-2.7077432691651344,-0.0021889635952851982,-5.536423713554434,-0.01309255999956438,-0.01239687273946366,0.00019225149399414932,0.01068541490389574,-0.00710748821974061,-0.0006956872600999411,-123.9006802721292,123.9006802721292,-0.07509584167920627
T01,T01_N001,T01_N001_F6287672,142.57759637188207,UNLABELLED_BP_CORRESPONDENCE,-4.317872336198958,-4.321031085656438,2.333275268837271,3.0423605084411944,0.04963765484727588,0.19999475497308813,-6.059606902685357,0.20775018773325105,2.697396151453198,0.7519381119860037,-2.7080202744020836,-0.0032285718170705913,-5.538362439492616,-0.019327049617010594,-0.01867659566700297,0.0005015991533548316,0.00098389079188399,0.005543338061434255,-0.0006504539500083448,-118.91201814060537,118.91201814060537,-0.07207222808162835
T01,T01_N001,T01_N001_F6287980,142.58458049886622,UNLABELLED_BP_CORRESPONDENCE,-5.104416279391838,-5.14435938209019,1.3973838837580723,1.0970994290754792,0.4999197894170418,0.30404344350814083,-5.997348652975884,0.25761879880418626,0.3820696500814036,0.12292441620518291,-2.7087238922602075,-0.0027912473064652943,-5.546459770000591,-0.0007174386150650136,-0.0002503360752514894,-0.0003512460035632188,-0.0060940833857305865,-0.00020160188318030237,-0.00046710253981331997,-111.92789115645496,111.92789115645496,-0.06783916904500892
T01,T01_N001,T01_N001_F6288244,142.59056689342404,UNLABELLED_BP_CORRESPONDENCE,-5.162386144340845,-5.2557122110630505,1.4645832295110086,1.38459223304936,0.2998608755086066,0.20165729714389719,-5.998157656251532,-0.05837593351738146,0.3349513086845145,0.10756433322969793,-2.707981395499767,-0.003714475479758228,-5.545449956097758,0.005335874626193338,0.005886027027187879,-0.0007850001256193763,0.014196259656022558,-0.012950295170742088,-0.000550152400994737,-105.94149659863206,105.94149659863206,-0.06421083272791885
T01,T01_N001,T01_N001_F6288728,142.60154195011336,UNLABELLED_BP_CORRESPONDENCE,-4.194054433799881,-4.194062998031736,2.252177712224589,2.9935757549269657,0.052630541069570144,0.0588235294117647,-6.053812169524005,0.009621483790549945,3.5397117930994924,0.9999999999999998,-2.7087508762410915,-0.003636803156629398,-5.535993245631446,-0.021662548036782248,-0.021840974339450092,0.0006925776754832782,-0.022653526384357026,-0.004846441585058869,0.0001784263026687195,-94.96643990931375,94.96643990931375,-0.05755888281326809
T01,T01_N001,T01_N001_F6289080,142.6095238095238,UNLABELLED_BP_CORRESPONDENCE,-5.110033230425476,-5.401073433181759,1.1304875126528553,1.0970994290754792,0.2558172356041546,0.11111111111111108,-6.034423481974137,-0.0059095644818940585,0.41077160847615685,0.1213448092677876,-2.710082541991584,-0.0035786754661928377,-5.553740092741738,0.0042579300716028,0.003982170261930484,-0.0005363966575806529,-0.08076033164142471,-0.00695388064332203,0.00027575980967239335,-86.98458049886426,86.98458049886426,-0.05272110105713652
