quarter_id,source_search,event_id,native_timestamp,source_state,old_role,selected
30,BASS,F_MIX_00056,10.936598639455783,BASS_SUPPORTED,CONTEXT,True
31,DRUM,F_MIX_00059,11.34294784580499,DRUM_SUPPORTED,PRIMARY,True
31,DRUM,F_MIX_00058,11.3081179138322,DRUM_SUPPORTED,CONTEXT,False
32,DRUM,F_MIX_00062,11.72607709750567,DRUM_SUPPORTED,PRIMARY,True
32,DRUM,F_MIX_00063,11.77251700680272,DRUM_SUPPORTED,CONTEXT,False
32,DRUM,F_MIX_00061,11.679637188208616,DRUM_SUPPORTED,CONTEXT,False
32,DRUM,F_MIX_00064,11.818956916099774,DRUM_SUPPORTED,CONTEXT,False
33,BASS,F_MIX_00066,12.144036281179138,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
33,DRUM,F_MIX_00066,12.144036281179138,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
34,BASS,F_MIX_00067,12.527165532879819,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
34,DRUM,F_MIX_00067,12.527165532879819,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
35,DRUM,F_MIX_00068,12.910294784580499,DRUM_SUPPORTED,PRIMARY,True
36,BASS,F_MIX_00069,13.165714285714285,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
36,DRUM,F_MIX_00070,13.25859410430839,DRUM_SUPPORTED,PRIMARY,True
36,DRUM,F_MIX_00069,13.165714285714285,BASS_AND_DRUM_SUPPORTED,CONTEXT,False
37,DRUM,F_MIX_00073,13.64172335600907,DRUM_SUPPORTED,PRIMARY,True
37,DRUM,F_MIX_00072,13.525623582766439,DRUM_SUPPORTED,CONTEXT,False
38,BASS,F_MIX_00075,14.001632653061224,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
38,DRUM,F_MIX_00075,14.001632653061224,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
39,DRUM,F_MIX_00076,14.373151927437641,DRUM_SUPPORTED,PRIMARY,True
40,DRUM,F_MIX_00078,14.733061224489797,DRUM_SUPPORTED,PRIMARY,True
41,BASS,F_MIX_00081,15.069750566893424,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
41,DRUM,F_MIX_00081,15.069750566893424,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
42,BASS,F_MIX_00083,15.464489795918368,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
42,DRUM,F_MIX_00083,15.464489795918368,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
43,DRUM,F_MIX_00085,15.824399092970522,DRUM_SUPPORTED,PRIMARY,True
44,BASS,F_MIX_00087,16.195918367346938,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
44,DRUM,F_MIX_00087,16.195918367346938,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
45,DRUM,F_MIX_00088,16.555827664399093,DRUM_SUPPORTED,PRIMARY,True
46,BASS,F_MIX_00090,16.938956916099773,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
46,DRUM,F_MIX_00090,16.938956916099773,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
47,DRUM,F_MIX_00091,17.29886621315193,DRUM_SUPPORTED,PRIMARY,True
48,BASS,F_MIX_00094,17.670385487528346,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
48,DRUM,F_MIX_00094,17.670385487528346,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
48,DRUM,F_MIX_00093,17.565895691609978,DRUM_SUPPORTED,CONTEXT,False
49,DRUM,F_MIX_00097,18.04190476190476,DRUM_SUPPORTED,PRIMARY,True
49,DRUM,F_MIX_00096,17.925804988662133,DRUM_SUPPORTED,CONTEXT,False
50,DRUM,F_MIX_00100,18.401814058956916,DRUM_SUPPORTED,PRIMARY,True
