event_id,stem,timestamp_s,sample_index,in_scope,identity,asset_sha256,source_identity,provenance,operational_timestamp,timestamp_origin,full_mix_event_id
BASS_00084,bass,35.131791383219955,1549312,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,35.131791383219955,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00087,bass,36.85006802721088,1625088,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,36.85006802721088,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00091,bass,38.47546485260771,1696768,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,38.47546485260771,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00096,bass,40.85551020408163,1801728,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,40.85551020408163,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00101,bass,42.49251700680272,1873920,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,42.49251700680272,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00104,bass,43.97859410430839,1939456,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,43.97859410430839,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00106,bass,44.33850340136055,1955328,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,44.33850340136055,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00112,bass,48.576145124716554,2142208,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,48.576145124716554,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00113,bass,48.92444444444445,2157568,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,48.92444444444445,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00118,bass,50.43374149659864,2224128,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,50.43374149659864,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00120,bass,51.5134693877551,2271744,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,51.5134693877551,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00121,bass,51.88498866213152,2288128,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,51.88498866213152,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00124,bass,53.35945578231293,2353152,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,53.35945578231293,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00125,bass,53.730975056689346,2369536,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,53.730975056689346,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00129,bass,55.414421768707484,2443776,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,55.414421768707484,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00132,bass,56.91210884353742,2509824,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,56.91210884353742,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00134,bass,58.44462585034014,2577408,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,58.44462585034014,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00140,bass,60.97560090702948,2689024,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,60.97560090702948,SEPARATOR_STEM,NOT_ESTABLISHED
