stem,quarter_id,quarter_timestamp,candidate_N,selected_id,timestamp_s,sample_index,offset_ms,state
bass,0,0.06965986394557823,0,,,,,EMPTY
bass,1,0.44117913832199546,0,,,,,EMPTY
bass,2,0.8126984126984127,2,BASS_00001,0.8823582766439909,38912,69.6598639455782000,SELECTED
bass,3,1.18421768707483,0,,,,,EMPTY
bass,4,1.555736961451247,2,BASS_00003,1.5789569160997732,69632,23.2199546485262000,SELECTED
bass,5,1.9272562358276644,0,,,,,EMPTY
bass,6,2.3219954648526078,1,BASS_00004,2.3103854875283445,101888,-11.6099773242633000,SELECTED
bass,7,2.670294784580499,0,,,,,EMPTY
bass,8,3.0418140589569163,2,BASS_00006,3.0650340136054424,135168,23.2199546485261000,SELECTED
bass,9,3.4133333333333336,2,BASS_00007,3.436553287981859,151552,23.2199546485254000,SELECTED
bass,10,3.7848526077097504,0,,,,,EMPTY
bass,11,4.156371882086168,0,,,,,EMPTY
bass,12,4.504671201814059,1,BASS_00009,4.516281179138322,199168,11.609977324263000,SELECTED
bass,13,4.876190476190477,0,,,,,EMPTY
bass,14,5.224489795918367,2,BASS_00011,5.259319727891157,231936,34.829931972790000,SELECTED
bass,15,5.596009070294785,1,BASS_00012,5.630839002267574,248320,34.829931972789000,SELECTED
bass,16,5.944308390022676,1,BASS_00013,5.990748299319728,264192,46.439909297052000,SELECTED
bass,17,6.315827664399093,1,BASS_00014,6.327437641723356,279040,11.609977324263000,SELECTED
bass,18,6.664126984126984,1,BASS_00015,6.675736961451247,294400,11.609977324263000,SELECTED
bass,19,7.012426303854875,0,,,,,EMPTY
bass,20,7.383945578231293,1,BASS_00016,7.430385487528345,327680,46.439909297052000,SELECTED
bass,21,7.732244897959184,0,,,,,EMPTY
bass,22,8.103764172335602,2,BASS_00018,8.150204081632653,359424,46.439909297051000,SELECTED
bass,23,8.452063492063493,1,BASS_00019,8.510113378684807,375296,58.049886621314000,SELECTED
bass,24,8.823582766439909,1,BASS_00020,8.881632653061224,391680,58.049886621315000,SELECTED
bass,25,9.1718820861678,1,BASS_00021,9.229931972789116,407040,58.049886621316000,SELECTED
bass,26,9.543401360544218,1,BASS_00022,9.58984126984127,422912,46.439909297052000,SELECTED
bass,27,9.914920634920636,0,,,,,EMPTY
bass,28,10.286439909297052,2,BASS_00024,10.32126984126984,455168,34.829931972788000,SELECTED
bass,29,10.634739229024943,1,BASS_00025,10.692789115646258,471552,58.049886621315000,SELECTED
bass,30,11.00625850340136,2,BASS_00027,11.052698412698414,487424,46.439909297054000,SELECTED
bass,31,11.377777777777778,1,BASS_00028,11.3081179138322,498688,-69.659863945578000,SELECTED
bass,32,11.749297052154194,0,,,,,EMPTY
bass,33,12.120816326530612,2,BASS_00030,12.132426303854876,535040,11.609977324264000,SELECTED
bass,34,12.49233560090703,1,BASS_00031,12.527165532879819,552448,34.829931972789000,SELECTED
bass,35,12.863854875283447,0,,,,,EMPTY
bass,36,13.235374149659863,1,BASS_00032,13.154104308390023,580096,-81.269841269840000,SELECTED
bass,37,13.606893424036281,0,,,,,EMPTY
bass,38,13.955192743764172,1,BASS_00033,14.001632653061224,617472,46.439909297052000,SELECTED
bass,39,14.32671201814059,0,,,,,EMPTY
bass,40,14.698231292517006,3,BASS_00035,14.733061224489797,649728,34.829931972791000,SELECTED
bass,41,15.069750566893424,2,BASS_00038,15.069750566893424,664576,0E-15,SELECTED
bass,42,15.441269841269841,1,BASS_00039,15.429659863945579,680448,-11.609977324262000,SELECTED
bass,43,15.789569160997733,0,,,,,EMPTY
bass,44,16.16108843537415,1,BASS_00040,16.207528344671204,714752,46.439909297054000,SELECTED
bass,45,16.532607709750568,0,,,,,EMPTY
bass,46,16.904126984126986,1,BASS_00041,16.950566893424035,747520,46.439909297049000,SELECTED
bass,47,17.2756462585034,0,,,,,EMPTY
bass,48,17.647165532879818,0,,,,,EMPTY
bass,49,18.018684807256236,1,BASS_00042,17.98385487528345,793088,-34.829931972786000,SELECTED
bass,50,18.390204081632653,1,BASS_00043,18.42503401360544,812544,34.829931972787000,SELECTED
bass,51,18.76172335600907,0,,,,,EMPTY
bass,52,19.11002267573696,1,BASS_00044,19.14485260770975,844288,34.82993197279000,SELECTED
bass,53,19.481541950113378,0,,,,,EMPTY
bass,54,19.82984126984127,1,BASS_00045,19.748571428571427,870912,-81.269841269843000,SELECTED
bass,55,20.201360544217685,1,BASS_00046,20.21297052154195,891392,11.609977324265000,SELECTED
bass,56,20.54965986394558,1,BASS_00047,20.58448979591837,907776,34.82993197279000,SELECTED
bass,57,20.897959183673468,1,BASS_00048,20.94439909297052,923648,46.439909297052000,SELECTED
bass,58,21.24625850340136,1,BASS_00049,21.31591836734694,940032,69.65986394558000,SELECTED
bass,59,21.61777777777778,0,,,,,EMPTY
bass,60,21.966077097505668,1,BASS_00050,22.04734693877551,972288,81.269841269842000,SELECTED
bass,61,22.337596371882086,0,,,,,EMPTY
bass,62,22.68589569160998,2,BASS_00051,22.66267573696145,999424,-23.21995464853000,SELECTED
bass,63,23.057414965986396,1,BASS_00053,23.11546485260771,1019392,58.049886621314000,SELECTED
bass,64,23.42893424036281,1,BASS_00054,23.486984126984126,1035776,58.049886621316000,SELECTED
bass,65,23.800453514739228,1,BASS_00055,23.84689342403628,1051648,46.439909297052000,SELECTED
bass,66,24.171972789115646,1,BASS_00056,24.18358276643991,1066496,11.609977324264000,SELECTED
bass,67,24.543492063492064,1,BASS_00057,24.555102040816326,1082880,11.609977324262000,SELECTED
bass,68,24.91501133786848,0,,,,,EMPTY
bass,69,25.2865306122449,1,BASS_00058,25.321360544217686,1116672,34.829931972786000,SELECTED
bass,70,25.658049886621317,2,BASS_00060,25.692879818594104,1133056,34.829931972787000,SELECTED
bass,71,26.02956916099773,1,BASS_00061,25.959909297052153,1144832,-69.659863945577000,SELECTED
bass,72,26.40108843537415,0,,,,,EMPTY
bass,73,26.772607709750567,0,,,,,EMPTY
bass,74,27.144126984126984,1,BASS_00062,27.132517006802722,1196544,-11.609977324262000,SELECTED
bass,75,27.515646258503402,1,BASS_00063,27.492426303854874,1212416,-23.219954648528000,SELECTED
bass,76,27.88716553287982,1,BASS_00064,27.875555555555554,1229312,-11.609977324266000,SELECTED
bass,77,28.23546485260771,0,,,,,EMPTY
bass,78,28.606984126984127,1,BASS_00065,28.606984126984127,1261568,0E-15,SELECTED
bass,79,28.955283446712016,1,BASS_00066,28.966893424036282,1277440,11.609977324266000,SELECTED
bass,80,29.326802721088434,1,BASS_00067,29.31519274376417,1292800,-11.609977324264000,SELECTED
bass,81,29.675102040816327,0,,,,,EMPTY
bass,82,30.046621315192745,1,BASS_00068,30.06984126984127,1326080,23.219954648525000,SELECTED
bass,83,30.394920634920634,1,BASS_00069,30.418140589569163,1341440,23.219954648529000,SELECTED
bass,84,30.743219954648527,1,BASS_00070,30.731609977324265,1355264,-11.609977324262000,SELECTED
bass,85,31.114739229024945,2,BASS_00072,31.149569160997732,1373696,34.829931972787000,SELECTED
bass,86,31.463038548752834,1,BASS_00073,31.509478458049887,1389568,46.439909297053000,SELECTED
bass,87,31.834557823129252,1,BASS_00074,31.857777777777777,1404928,23.219954648525000,SELECTED
bass,88,32.182857142857145,1,BASS_00075,32.229297052154195,1421312,46.439909297050000,SELECTED
bass,89,32.53115646258503,2,BASS_00077,32.57759637188209,1436672,46.43990929706000,SELECTED
bass,90,32.90267573696145,1,BASS_00078,32.96072562358277,1453568,58.04988662132000,SELECTED
bass,91,33.274195011337866,0,,,,,EMPTY
bass,92,33.62249433106576,2,BASS_00079,33.57605442176871,1480704,-46.43990929705000,SELECTED
bass,93,33.99401360544218,0,,,,,EMPTY
bass,94,34.365532879818595,2,BASS_00082,34.42358276643991,1518080,58.049886621315000,SELECTED
bass,95,34.71383219954649,1,BASS_00083,34.76027210884354,1532928,46.43990929705000,SELECTED
bass,96,35.085351473922906,1,BASS_00084,35.131791383219955,1549312,46.439909297049000,SELECTED
bass,97,35.456870748299316,1,BASS_00085,35.49170068027211,1565184,34.829931972794000,SELECTED
bass,98,35.828390022675734,1,BASS_00086,35.851609977324266,1581056,23.219954648532000,SELECTED
bass,99,36.19990929705215,0,,,,,EMPTY
bass,100,36.57142857142857,0,,,,,EMPTY
bass,101,36.94294784580499,1,BASS_00087,36.85006802721088,1625088,-92.87981859411000,SELECTED
bass,102,37.314467120181405,0,,,,,EMPTY
bass,103,37.68598639455782,1,BASS_00088,37.813696145124716,1667584,127.709750566896000,SELECTED
bass,104,38.05750566893424,2,BASS_00089,37.95301587301587,1673728,-104.48979591837000,SELECTED
bass,105,38.42902494331066,1,BASS_00091,38.47546485260771,1696768,46.43990929705000,SELECTED
bass,106,38.77732426303855,2,BASS_00093,38.81215419501134,1711616,34.82993197279000,SELECTED
bass,107,39.14884353741497,0,,,,,EMPTY
bass,108,39.52036281179139,1,BASS_00094,39.555192743764174,1744384,34.829931972784000,SELECTED
bass,109,39.8918820861678,0,,,,,EMPTY
bass,110,40.263401360544215,0,,,,,EMPTY
bass,111,40.61170068027211,1,BASS_00095,40.553650793650796,1788416,-58.049886621314000,SELECTED
bass,112,40.983219954648526,2,BASS_00097,40.90195011337868,1803776,-81.269841269846000,SELECTED
bass,113,41.35473922902494,2,BASS_00099,41.38956916099773,1825280,34.82993197279000,SELECTED
bass,114,41.72625850340136,1,BASS_00100,41.76108843537415,1841664,34.82993197279000,SELECTED
bass,115,42.09777777777778,0,,,,,EMPTY
bass,116,42.4692970521542,1,BASS_00101,42.49251700680272,1873920,23.21995464852000,SELECTED
bass,117,42.81759637188209,0,,,,,EMPTY
bass,118,43.1891156462585,1,BASS_00102,43.23555555555556,1906688,46.43990929706000,SELECTED
bass,119,43.56063492063492,1,BASS_00103,43.490975056689344,1917952,-69.659863945576000,SELECTED
