section,quantity,N,negative,positive,exact,median_ms,mean_ms,IQR_ms,MAD_ms,SD_ms,median_abs_ms,min_ms,max_ms
M2,FULLMIX_drums_ALL_SUPPORT_SLOTS,243,74,146,23,11.60997732426,4.921101499584271,46.4399092970445,23.219954648522,37.370631650473264,23.21995464853,-104.48979591837,81.26984126984
M2,FULLMIX_drums_NONSHARED,168,63,92,13,11.60997732426,1.105712126120422,69.6598639455625,23.21995464855,42.22012324114651,34.82993197278,-104.48979591837,81.26984126984
M2,STEM_RESOLVED_DRUM_MINUS_BASS,103,76,27,0,-34.82993197278911,-41.818462012636765,121.9047619047619,58.049886621315196,67.29271270102551,69.65986394557822,-255.41950113378687,139.31972789115645
M2,FULLMIX_DISTINCT_DRUM_MINUS_BASS,7,3,4,0,34.82993197278,-13.268545513444284,133.514739229025,58.04988662132,89.28582627601752,81.26984126984,-139.31972789116,92.8798185941
M3,bass_TO_PLP,111,30,78,3,23.21995464853,7.949173663459639,75.46485260769501,23.21995464853,54.00329009374329,46.43990929704,-127.70975056688,81.26984126987
M3,bass_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,113,23,20,70,0.0,-0.30822948648485937,0.0,0.0,7.1871052979571814,0.0,-11.609977324263038,11.609977324263038
M3,bass_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,0,0,0,0,,,,,,,,
M3,FULLMIX_bass_ALL_SUPPORT_SLOTS,0,0,0,0,,,,,,,,
M3,FULLMIX_bass_NONSHARED,0,0,0,0,,,,,,,,
M3,drums_TO_PLP,123,24,86,13,23.21995464852,12.648267979280083,34.82993197278,11.60997732429,33.50439540265912,23.21995464855,-81.26984126985,69.65986394556
M3,drums_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,161,6,46,109,0.0,2.8844664159659725,11.609977324263038,0.0,5.952740037766418,0.0,-11.609977324263038,11.609977324263038
M3,drums_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,121,3,33,85,0.0,2.87850677461067,11.609977324263038,0.0,5.66415240311635,0.0,-11.609977324263038,11.609977324263038
M3,FULLMIX_drums_ALL_SUPPORT_SLOTS,113,16,94,3,23.21995464854,20.54863243232478,34.829931972770005,11.609977324279999,34.795667397870794,34.82993197278,-81.26984126984,81.26984126985
M3,FULLMIX_drums_NONSHARED,113,16,94,3,23.21995464854,20.54863243232478,34.829931972770005,11.609977324279999,34.795667397870794,34.82993197278,-81.26984126984,81.26984126985
M3,STEM_RESOLVED_DRUM_MINUS_BASS,70,41,29,0,-23.219954648526077,7.79527048914804,136.41723356009072,46.439909297052154,76.92866726469616,58.049886621315196,-116.09977324263039,162.53968253968253
M3,FULLMIX_DISTINCT_DRUM_MINUS_BASS,0,0,0,0,,,,,,,,
M4,bass_TO_PLP,63,8,51,4,23.21995464854,23.588525357231905,34.82993197279,11.609977324279999,39.1758427610982,34.82993197277,-162.53968253969,92.87981859413
M4,bass_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,43,7,19,17,0.0,3.239993671887359,11.609977324263038,11.609977324263038,8.526130526185277,11.609977324263038,-11.609977324263038,11.609977324263038
M4,bass_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,5,1,2,2,0.0,2.3219954648526078,11.609977324263038,11.609977324263038,9.713603936177929,11.609977324263038,-11.609977324263038,11.609977324263038
M4,FULLMIX_bass_ALL_SUPPORT_SLOTS,8,0,8,0,46.439909297045006,40.634920634915005,23.21995464852,11.609977324259999,16.41898739081461,46.439909297045006,23.21995464851,69.65986394556
M4,FULLMIX_bass_NONSHARED,1,0,1,0,69.65986394556,69.65986394556,0.0,0.0,,69.65986394556,69.65986394556,69.65986394556
M4,drums_TO_PLP,114,60,50,4,-11.609977324265,-9.573139197199124,69.6598639456,34.8299319728,44.3440617172484,34.82993197279,-104.48979591837,69.6598639456
M4,drums_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,160,8,24,128,0.0,1.1609977324263039,0.0,0.0,5.076560907824231,0.0,-11.609977324263038,11.609977324263038
M4,drums_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,144,6,21,117,0.0,1.2093726379440664,0.0,0.0,4.896666948423248,0.0,-11.609977324263038,11.609977324263038
M4,FULLMIX_drums_ALL_SUPPORT_SLOTS,113,55,54,4,0.0,-4.623442297271328,81.26984126983001,46.43990929704,45.37926660568625,46.43990929704,-104.48979591837,81.26984126987
M4,FULLMIX_drums_NONSHARED,106,55,47,4,-11.609977324265,-7.338381893636039,81.26984126982751,34.829931972815004,45.47130701475365,40.634920634925,-104.48979591837,81.26984126987
M4,STEM_RESOLVED_DRUM_MINUS_BASS,29,24,5,0,-81.26984126984127,-52.445069982015795,69.65986394557822,23.219954648526084,76.2972449002106,81.26984126984127,-150.92970521541952,185.75963718820861
M4,FULLMIX_DISTINCT_DRUM_MINUS_BASS,1,1,0,0,-116.0997732426,-116.0997732426,0.0,0.0,,116.0997732426,-116.0997732426,-116.0997732426
M56,bass_TO_PLP,190,58,114,18,11.60997732427,11.30445160520379,46.43990929704499,23.21995464852,38.54174619842348,23.21995464853,-162.53968253969,174.14965986396
M56,bass_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,149,30,33,86,0.0,0.2337579327032827,0.0,0.0,7.571161214316693,0.0,-11.609977324263038,11.609977324263038
M56,bass_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,46,10,7,29,0.0,-0.7571724341910676,0.0,0.0,7.094731197811181,0.0,-11.609977324263038,11.609977324263038
M56,FULLMIX_bass_ALL_SUPPORT_SLOTS,69,22,35,12,11.60997732423,3.1969502776966663,34.8299319728,23.219954648479998,33.665640541286265,11.60997732428,-116.09977324265,58.04988662133
M56,FULLMIX_bass_NONSHARED,7,5,2,0,-46.439909297,-36.48850016194857,92.879818594135,46.4399092971,63.38826877802197,58.04988662133,-104.48979591836,58.04988662133
M56,drums_TO_PLP,259,66,146,47,11.60997732426,7.127360596749769,34.82993197277,11.60997732429,28.48798720772654,11.6099773243,-104.48979591835,69.6598639456
M56,drums_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,296,17,86,193,0.0,2.706379849236992,11.609977324263038,0.0,6.301864794887226,0.0,-11.609977324263038,11.609977324263038
M56,drums_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,262,13,80,169,0.0,2.968963666891693,11.609977324263038,0.0,6.2594459120352255,0.0,-11.609977324263038,11.609977324263038
M56,FULLMIX_drums_ALL_SUPPORT_SLOTS,245,57,144,44,11.60997732426,9.477532509603144,34.82993197277,23.219954648479998,29.34421927669087,11.6099773243,-116.09977324265,69.65986394559
M56,FULLMIX_drums_NONSHARED,183,40,111,32,11.60997732427,10.087357347311803,34.82993197278,23.219954648480005,30.48540791481845,23.2199546485,-104.48979591838,69.65986394559
M56,STEM_RESOLVED_DRUM_MINUS_BASS,89,62,27,0,-23.219954648526077,-16.697495477591787,69.65986394557822,34.82993197278912,66.23228325039317,34.82993197278911,-150.92970521541952,185.75963718820861
M56,FULLMIX_DISTINCT_DRUM_MINUS_BASS,6,1,5,0,63.85487528343,44.50491307633333,52.2448979592425,29.024943310685,85.44711949282781,87.07482993197999,-116.09977324263,127.70975056694
