left_reference_index,left_seconds,right_seconds,interval_seconds,raw_discrete_bpm
0,0.06965986394557823,0.44117913832199546,0.37151927437641724,161.4990234375
1,0.44117913832199546,0.8126984126984127,0.37151927437641724,161.4990234375
2,0.8126984126984127,1.18421768707483,0.3715192743764173,161.49902343749997
3,1.18421768707483,1.555736961451247,0.3715192743764171,161.49902343750006
4,1.555736961451247,1.9272562358276644,0.3715192743764173,161.49902343749997
5,1.9272562358276644,2.3219954648526078,0.3947392290249434,151.9990808823529
6,2.3219954648526078,2.670294784580499,0.3482993197278912,172.26562499999997
7,2.670294784580499,3.0418140589569163,0.3715192743764173,161.49902343749997
8,3.0418140589569163,3.4133333333333336,0.3715192743764173,161.49902343749997
9,3.4133333333333336,3.7848526077097504,0.37151927437641685,161.49902343750017
10,3.7848526077097504,4.156371882086168,0.3715192743764173,161.49902343749997
11,4.156371882086168,4.504671201814059,0.3482993197278912,172.26562499999997
12,4.504671201814059,4.876190476190477,0.37151927437641774,161.49902343749977
13,4.876190476190477,5.224489795918367,0.3482993197278903,172.26562500000043
14,5.224489795918367,5.596009070294785,0.37151927437641774,161.49902343749977
15,5.596009070294785,5.944308390022676,0.3482993197278912,172.26562499999997
16,5.944308390022676,6.315827664399093,0.37151927437641685,161.49902343750017
17,6.315827664399093,6.664126984126984,0.3482993197278912,172.26562499999997
18,6.664126984126984,7.012426303854875,0.3482993197278912,172.26562499999997
19,7.012426303854875,7.383945578231293,0.37151927437641774,161.49902343749977
20,7.383945578231293,7.732244897959184,0.3482993197278912,172.26562499999997
21,7.732244897959184,8.103764172335602,0.37151927437641774,161.49902343749977
22,8.103764172335602,8.452063492063493,0.3482993197278912,172.26562499999997
23,8.452063492063493,8.823582766439909,0.37151927437641596,161.49902343750054
24,8.823582766439909,9.1718820861678,0.3482993197278912,172.26562499999997
25,9.1718820861678,9.543401360544218,0.37151927437641774,161.49902343749977
26,9.543401360544218,9.914920634920636,0.37151927437641774,161.49902343749977
27,9.914920634920636,10.286439909297052,0.37151927437641596,161.49902343750054
28,10.286439909297052,10.634739229024943,0.3482993197278912,172.26562499999997
29,10.634739229024943,11.00625850340136,0.37151927437641774,161.49902343749977
30,11.00625850340136,11.377777777777778,0.37151927437641774,161.49902343749977
31,11.377777777777778,11.749297052154194,0.37151927437641596,161.49902343750054
32,11.749297052154194,12.120816326530612,0.37151927437641774,161.49902343749977
33,12.120816326530612,12.49233560090703,0.37151927437641774,161.49902343749977
34,12.49233560090703,12.863854875283447,0.37151927437641774,161.49902343749977
