event_id,stem,timestamp_s,sample_index,in_scope,identity,asset_sha256,source_identity
DRUMS_00000,drums,0.7198185941043084,31744,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00001,drums,0.8359183673469388,36864,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00002,drums,1.230657596371882,54272,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00003,drums,1.9736961451247166,87040,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00004,drums,2.2523356009070294,99328,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00005,drums,2.3568253968253967,103936,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00006,drums,2.693514739229025,118784,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00007,drums,2.9605442176870747,130560,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00008,drums,3.0650340136054424,135168,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00009,drums,3.436553287981859,151552,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00010,drums,3.6919727891156464,162816,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00011,drums,3.7964625850340137,167424,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00012,drums,4.179591836734694,184320,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00013,drums,4.388571428571429,193536,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00014,drums,4.527891156462585,199680,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00015,drums,4.887800453514739,215552,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00016,drums,5.154829931972789,227328,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00017,drums,5.259319727891157,231936,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00018,drums,5.5147392290249435,243200,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00019,drums,5.630839002267574,248320,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00020,drums,5.874648526077097,259072,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00021,drums,6.188117913832199,272896,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00022,drums,6.292607709750567,277504,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00023,drums,6.339047619047619,279552,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00024,drums,6.582857142857143,290304,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00025,drums,6.6873469387755105,294912,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00026,drums,7.047256235827664,310784,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00027,drums,7.4071655328798185,326656,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00028,drums,7.790294784580499,343552,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
DRUMS_00029,drums,8.13859410430839,358912,True,SEPARATOR_DRUMS_STEM,88faa9bd504e4253b9e17da5e8ddd3b5fdc310abb542c2ac493a656752546290,1cfc00dd-5652-5792-83a6-c1195da87b63
