quarter_id,quarter_timestamp,full_mix_dual_id,full_mix_no_distinct_alternative,Bass_candidate_N,Drums_candidate_N,category,selected_pair_resolved,selected_Drum_minus_Bass_ms
860,313.6087074829932,F_MIX_01544,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,11.609977324263038
861,313.9802267573696,F_MIX_01545,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
862,314.351746031746,F_MIX_01547,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
864,315.09478458049887,F_MIX_01550,True,2,1,F_MULTIPLE_CANDIDATES,True,23.219954648526077
866,315.8146031746032,F_MIX_01552,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
870,317.27746031746034,F_MIX_01557,True,1,1,C_DISTINGUISHABLE,True,23.219954648526077
872,318.02049886621313,F_MIX_01560,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
874,318.74031746031744,F_MIX_01563,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
875,319.1118367346939,F_MIX_01565,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
876,319.46013605442175,F_MIX_01567,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
878,320.2031746031746,F_MIX_01569,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,11.609977324263038
880,320.94621315192745,F_MIX_01572,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
894,326.03138321995465,F_MIX_01591,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
896,326.75120181405896,F_MIX_01594,True,0,1,B_DRUM_ONLY,False,
902,328.9570975056689,F_MIX_01602,True,1,1,C_DISTINGUISHABLE,True,46.439909297052154
