method,section,category,reference_N,coverage_pct,event_outside_section_N,N,median_ms,mean_ms,IQR_ms,MAD_ms,SD_ms,median_abs_ms,min_ms,max_ms
PLP,WHOLE,ALL_SELECTED,905,98.45303867403315,0,891,11.60997732426,1.0424222064437472,58.049886621295,23.21995464853,37.35766531882172,23.21995464854,-116.09977324265,81.26984126986
PLP,WHOLE,BASS_SUPPORTED,905,0.3314917127071823,0,3,34.8299319728,11.609977324269998,46.439909297054996,11.60997732426,50.60671789326529,46.43990929705,-46.43990929705,46.43990929706
PLP,WHOLE,DRUM_SUPPORTED,905,65.52486187845304,0,593,11.60997732427,4.6400752543858825,46.43990929705,23.21995464852,36.79537161516301,23.21995464855,-104.48979591838,81.26984126986
PLP,WHOLE,BASS_AND_DRUM_SUPPORTED,905,19.226519337016576,0,174,11.609977324262498,13.4115255297508,34.8299319727675,11.6099773242675,23.199986713744934,11.60997732428,-116.09977324265,58.04988662132
PLP,WHOLE,UNKNOWN,905,13.370165745856353,0,121,-34.8299319728,-34.638031521147916,34.829931972789,11.609977324289996,35.783834552757476,46.43990929704,-104.48979591837,69.65986394558
PLP,M1,ALL_SELECTED,131,97.70992366412214,0,128,23.219954648525,8.888888888888914,49.3424036281195,17.414965986397497,35.283587164251685,34.829931972787506,-81.269841269844,58.04988662132
PLP,M1,BASS_SUPPORTED,131,0.0,0,0,,,,,,,,
PLP,M1,DRUM_SUPPORTED,131,56.48854961832061,0,74,23.2199546485257,11.923760495189093,31.92743764172475,11.6099773242648,34.48217472474999,34.829931972788,-81.269841269844,58.049886621315
PLP,M1,BASS_AND_DRUM_SUPPORTED,131,25.19083969465649,0,33,23.2199546485262,21.812684669827643,34.82993197279,23.2199546485238,20.678632543463664,23.2199546485262,-11.609977324266,58.049886621314
PLP,M1,UNKNOWN,131,16.03053435114504,0,21,-34.829931972795,-22.11424252240591,23.219954648528,11.609977324270002,39.52592216482349,46.43990929705,-69.659863945576,58.04988662132
PLP,M2,ALL_SELECTED,257,100.0,0,257,11.60997732425,-0.9035001808769338,46.43990929706,23.219954648530003,36.97437433666849,23.21995464853,-104.48979591837,81.26984126984
PLP,M2,BASS_SUPPORTED,257,0.7782101167315175,0,2,4.998668146072305e-12,4.998668146072305e-12,46.439909297055,46.439909297054996,65.67594956327156,46.439909297054996,-46.43990929705,46.43990929706
PLP,M2,DRUM_SUPPORTED,257,58.75486381322957,0,151,11.60997732425,-1.1533090057212918,63.854875283435,23.21995464854,38.91807943811019,34.82993197277,-104.48979591837,81.26984126984
PLP,M2,BASS_AND_DRUM_SUPPORTED,257,28.404669260700388,0,73,11.60997732426,12.723262821108317,23.21995464853,11.60997732426,20.67499623437754,11.60997732427,-92.87981859411,46.43990929706
PLP,M2,UNKNOWN,257,12.062256809338521,0,31,-34.829931972795,-31.83380879233464,34.829931972777,23.219954648504995,38.50217440375747,46.43990929705,-81.26984126986,69.65986394558
PLP,M3,ALL_SELECTED,125,99.2,0,124,11.60997732427,4.40055592129371,58.049886621305,23.21995464854,35.42556071422869,29.02494331066,-81.26984126984,69.65986394557
PLP,M3,BASS_SUPPORTED,125,0.0,0,0,,,,,,,,
PLP,M3,DRUM_SUPPORTED,125,72.8,0,91,23.21995464852,15.182278039421542,23.21995464853,11.60997732426,32.73255564993484,23.21995464854,-81.26984126984,69.65986394557
PLP,M3,BASS_AND_DRUM_SUPPORTED,125,0.0,0,0,,,,,,,,
PLP,M3,UNKNOWN,125,26.4,0,33,-34.82993197277,-25.33085961657394,11.609977324309998,11.609977324259997,23.838393821095615,34.82993197278,-69.65986394556,46.43990929706
PLP,M4,ALL_SELECTED,127,92.1259842519685,0,117,-11.60997732427,-10.31997984378829,69.6598639456,34.82993197279,43.03145008104839,34.82993197278,-104.48979591837,81.26984126986
PLP,M4,BASS_SUPPORTED,127,0.0,0,0,,,,,,,,
PLP,M4,DRUM_SUPPORTED,127,77.95275590551181,0,99,-11.60997732427,-10.789069836687476,69.6598639456,34.8299319728,43.66958468250091,34.82993197278,-104.48979591837,81.26984126986
PLP,M4,BASS_AND_DRUM_SUPPORTED,127,4.724409448818897,0,6,34.82993197279,34.829931972785,23.21995464853,11.609977324265,12.718092945246822,34.82993197279,23.21995464851,46.43990929706
PLP,M4,UNKNOWN,127,9.448818897637794,0,12,-34.82993197278,-29.02494331065667,29.024943310669997,17.414965986395,31.113478961729445,34.82993197278,-69.65986394558,46.43990929705
PLP,M56,ALL_SELECTED,265,100.0,0,265,11.60997732425,2.5848628759689807,34.82993197281,23.2199546485,35.82616406762057,23.21995464846,-116.09977324265,69.65986394559
PLP,M56,BASS_SUPPORTED,265,0.37735849056603776,0,1,34.8299319728,34.8299319728,0.0,0.0,,34.8299319728,34.8299319728,34.8299319728
PLP,M56,DRUM_SUPPORTED,265,67.16981132075472,0,178,11.60997732427,9.71846416469354,34.82993197277,17.414965986375,29.776426525614298,17.41496598638,-104.48979591838,69.65986394559
PLP,M56,BASS_AND_DRUM_SUPPORTED,265,23.39622641509434,0,62,11.609977324245001,7.677565649914677,31.927437641732503,17.41496598639,25.827878185181316,11.60997732427,-116.09977324265,58.04988662132
PLP,M56,UNKNOWN,265,9.056603773584905,0,24,-75.464852607685,-64.82237339379917,34.82993197277249,17.41496598639,29.82984637921775,75.464852607685,-104.48979591837,23.21995464856
HISTORICAL_MATCHED_DOMAIN,WHOLE,ALL_SELECTED,912,96.49122807017544,0,880,-0.025912896365,1.5068419727894764,97.528284893995,49.5259605138215,75.55871938232721,49.5105635129215,-182.82190966028,182.42777410267
HISTORICAL_MATCHED_DOMAIN,WHOLE,BASS_SUPPORTED,912,0.6578947368421053,0,6,-3.0067860289825,-3.9557271617654997,26.969169505334747,17.737319367704,55.215572524693926,17.737319367704,-83.7177796984,86.43908721776
HISTORICAL_MATCHED_DOMAIN,WHOLE,DRUM_SUPPORTED,912,55.921052631578945,0,510,-3.584505605875,-4.838527418310826,105.8754288972775,53.1252613235915,77.55363670784028,51.7417197933865,-182.82190966028,182.42777410267
