section,source,cohort,coverage_pct,N,negative,positive,exact_zero,negative_pct,positive_pct,exact_zero_pct,median_ms,mean_ms,IQR_ms,MAD_ms,SD_ms,median_abs_ms,min_ms,max_ms
WHOLE,BASS,PRIMARY_NONSHARED,2.541436464088398,23,15,8,0,65.21739130434783,34.78260869565217,0.0,-34.82993197279,-22.715173025725495,116.09977324263399,46.439909297053,60.88104700079792,58.04988662133,-104.48979591836,69.659863945579
WHOLE,BASS,ALL_SUPPORT_SLOTS,22.430939226519335,203,47,129,27,23.15270935960591,63.54679802955665,13.300492610837438,11.609977324262,10.294561174222965,34.829931972783,23.219954648512,32.20596041354867,23.21995464852,-116.09977324265,69.659863945579
WHOLE,BASS,DISTINCT_PAIRS_ONLY,2.320441988950276,21,14,7,0,66.66666666666667,33.333333333333336,0.0,-34.82993197279,-23.21995464851949,116.09977324264,46.439909297053,61.65324299540998,58.04988662133,-104.48979591836,69.659863945579
WHOLE,DRUM,PRIMARY_NONSHARED,72.26519337016575,654,192,407,55,29.357798165137616,62.23241590214067,8.409785932721713,11.60997732427,7.38493970473088,46.43990929706075,23.21995464853,39.18712451623615,34.82993197278,-104.48979591838,81.26984126987
WHOLE,DRUM,ALL_SUPPORT_SLOTS,92.15469613259668,834,224,528,82,26.85851318944844,63.30935251798561,9.832134292565947,11.60997732427,8.923255953061084,46.43990929704,23.21995464852,36.49811533213304,23.21995464855,-116.09977324265,81.26984126987
WHOLE,DRUM,DISTINCT_PAIRS_ONLY,2.320441988950276,21,9,9,3,42.857142857142854,42.857142857142854,14.285714285714286,0.0,-6.081416693655994,58.049886621319,34.829931972788,40.48854503743338,34.829931972788,-92.8798185941,46.4399092971
WHOLE,DRUM_MINUS_BASS,DISTINCT_PAIRS_ONLY,2.320441988950276,21,7,14,0,33.333333333333336,66.66666666666667,0.0,46.439909297,17.138537954863498,185.759637188205,58.049886621368,97.52512583888554,92.879818594104,-139.31972789116,127.70975056694
M1,BASS,PRIMARY_NONSHARED,6.106870229007634,8,6,2,0,75.0,25.0,0.0,-69.659863945578,-40.63492063492079,34.829931972791755,5.804988662133503,65.08691569561725,69.65986394557851,-92.8798185941043,69.659863945579
M1,BASS,ALL_SUPPORT_SLOTS,33.587786259541986,44,10,29,5,22.727272727272727,65.9090909090909,11.363636363636363,23.219954648526098,12.40156668728102,46.4399092970505,23.219954648526098,41.2491728995284,34.8299319727885,-92.8798185941043,69.659863945579
M1,BASS,DISTINCT_PAIRS_ONLY,5.343511450381679,7,5,2,0,71.42857142857143,28.571428571428573,0.0,-69.659863945578,-36.488500161969895,69.65986394557999,11.609977324265003,69.15122222349888,69.659863945579,-92.8798185941043,69.659863945579
M1,DRUM,PRIMARY_NONSHARED,64.12213740458016,84,18,63,3,21.428571428571427,75.0,3.5714285714285716,23.219954648526553,14.927113702624101,26.122448979596754,11.609977324267,39.26070710562639,34.829931972789,-81.26984126985,81.269841269842
M1,DRUM,ALL_SUPPORT_SLOTS,91.6030534351145,120,22,90,8,18.333333333333332,75.0,6.666666666666667,23.219954648526752,17.7052154195013,26.12244897960025,11.609977324268748,35.03946829550394,34.829931972788,-81.26984126985,81.269841269842
M1,DRUM,DISTINCT_PAIRS_ONLY,5.343511450381679,7,2,5,0,28.571428571428573,71.42857142857143,0.0,23.219954648527,6.634272756722017,40.63492063492045,11.609977324263,41.78363087086879,34.829931972789,-69.659863945578,34.82993197279
M1,DRUM_MINUS_BASS,DISTINCT_PAIRS_ONLY,5.343511450381679,7,2,5,0,28.571428571428573,71.42857142857143,0.0,104.489795918368,43.12277291869192,110.2947845804987,11.609977324263,109.8793601869337,104.489795918368,-139.319727891157,116.099773242633
