clip_id,native_note_id,onset_local_s,offset_local_s,duration_s,midi_pitch,amplitude,pitch_bends,episode_ids,routes
BASS,BP_0022,52.16720770975057,52.38779727891156,0.22058956916099248,39,0.3076585829257965,"[-2, -2, -2, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",HF014,AMBIGUOUS_ROUTE
BASS,BP_0023,52.16720770975057,52.306527437641726,0.13931972789115576,51,0.38375166058540344,"[-2, -2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF014,AMBIGUOUS_ROUTE
BASS,BP_0024,52.573556916099776,52.71287664399093,0.13931972789115576,36,0.5872781872749329,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]",HF015,AMBIGUOUS_ROUTE
BASS,BP_0025,52.5967768707483,52.77092653061224,0.17414965986394293,48,0.2937273383140564,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]",HF015,AMBIGUOUS_ROUTE
BASS,BP_0026,52.724486621315194,52.95797006802721,0.2334834467120146,36,0.7528412342071533,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1]",HF015,AMBIGUOUS_ROUTE
BASS,BP_0027,52.887026303854874,53.0856798185941,0.19865351473922743,43,0.5999084711074829,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF016,AMBIGUOUS_ROUTE
BASS,BP_0028,53.0856798185941,53.317879365079364,0.23219954648526198,43,0.6718215346336365,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF016,AMBIGUOUS_ROUTE
BASS,BP_0029,53.37592925170068,53.701008616780044,0.3250793650793611,41,0.7141633629798889,"[2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]",HF017,SECURE_ROUTE
BASS,BP_0030,53.72422857142857,54.362777324263035,0.6385487528344669,46,0.47515735030174255,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",HF018,SECURE_ROUTE
BASS,BP_0031,54.40921723356009,54.757516553287985,0.34829931972789296,44,0.5153698325157166,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF019,SECURE_ROUTE
