attack_event_id,source_episode_ids,hypothesis_ids,pitch_hypotheses,route,BP_native_onsets_s,search_windows_s,candidate_count,selector_status,selected_acoustic_timestamp_s,timing_provenance,shared_attack,nearest_PLP_quarter,measure,beat,PLP_time_s,delta_B_ms,quarter_multiplicity,abstention_reason,notes
BASS_V1_013,HF048,BP_0071;BP_0072,[47],AMBIGUOUS_ROUTE,"{""BP_0071"": 64.97039002267573, ""BP_0072"": 65.14453968253969}","{""BP_0071"": [64.82039002267572, 65.12039002267574], ""BP_0072"": [64.99453968253968, 65.29453968253969]}",94,ATTACK_SELECTED_IDENTITY_UNRESOLVED,64.96698412698413,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q178,44,4,64.99265306122449,-25.668934240357544,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_014,HF050,BP_0074,[50],SECURE_ROUTE,"{""BP_0074"": 66.06172789115647}","{""BP_0074"": [65.91172789115646, 66.21172789115647]}",33,ATTACK_SELECTED,66.05850340136055,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q181,45,3,66.06077097505668,-2.2675736961303983,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_015,HF052,BP_0076;BP_0077;BP_0078,[38],AMBIGUOUS_ROUTE,"{""BP_0076"": 66.66544671201814, ""BP_0077"": 66.78154648526078, ""BP_0078"": 66.8395963718821}","{""BP_0076"": [66.51544671201813, 66.81544671201814], ""BP_0077"": [66.63154648526077, 66.93154648526078], ""BP_0078"": [66.68959637188209, 66.9895963718821]}",156,ATTACK_SELECTED_IDENTITY_UNRESOLVED,66.77886621315193,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q183,46,1,66.780589569161,-1.723356009065924,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_016,HF055,BP_0082;BP_0083;BP_0084,[35],AMBIGUOUS_ROUTE,"{""BP_0082"": 67.80450839002268, ""BP_0083"": 67.8277283446712, ""BP_0084"": 67.96704807256236}","{""BP_0082"": [67.65450839002267, 67.95450839002268], ""BP_0083"": [67.6777283446712, 67.9777283446712], ""BP_0084"": [67.81704807256236, 68.11704807256237]}",113,ATTACK_SELECTED_IDENTITY_UNRESOLVED,67.94321995464853,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q186,46,4,67.84870748299319,94.51247165533516,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_017,HF060,BP_0094;BP_0095,[39],AMBIGUOUS_ROUTE,"{""BP_0094"": 69.54728888888889, ""BP_0095"": 69.75626848072562}","{""BP_0094"": [69.39728888888888, 69.69728888888889], ""BP_0095"": [69.60626848072562, 69.90626848072563]}",85,ATTACK_SELECTED_IDENTITY_UNRESOLVED,69.65632653061225,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q191,48,1,69.6366439909297,19.68253968254885,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
UNRESOLVED_HF001,HF001,BP_0003,[39],SECURE_ROUTE,"{""BP_0003"": 47.79928843537415}","{""BP_0003"": [47.64928843537415, 47.94928843537415]}",44,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF003,HF003,BP_0005;BP_0006,[31],AMBIGUOUS_ROUTE,"{""BP_0005"": 48.10114784580499, ""BP_0006"": 48.194027664399094}","{""BP_0005"": [47.95114784580499, 48.25114784580499], ""BP_0006"": [48.044027664399096, 48.34402766439909]}",74,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF004,HF004,BP_0007,[44],AMBIGUOUS_ROUTE,"{""BP_0007"": 48.577156916099774}","{""BP_0007"": [48.427156916099776, 48.72715691609977]}",30,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF006,HF006,BP_0009,[33],SECURE_ROUTE,"{""BP_0009"": 48.97189614512472}","{""BP_0009"": [48.82189614512472, 49.121896145124715]}",29,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF007,HF007,BP_0010,[34],SECURE_ROUTE,"{""BP_0010"": 49.35630929705216}","{""BP_0010"": [49.20630929705216, 49.506309297052155]}",34,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF008,HF008,BP_0012;BP_0011,[35],AMBIGUOUS_ROUTE,"{""BP_0012"": 49.669778684807255, ""BP_0011"": 49.65816870748299}","{""BP_0012"": [49.51977868480726, 49.819778684807254], ""BP_0011"": [49.508168707482994, 49.80816870748299]}",81,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF009,HF009,BP_0013,[36],SECURE_ROUTE,"{""BP_0013"": 50.052907936507935}","{""BP_0013"": [49.90290793650794, 50.202907936507934]}",29,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF010,HF010,BP_0014;BP_0015;BP_0016,[28],AMBIGUOUS_ROUTE,"{""BP_0014"": 50.35476734693877, ""BP_0015"": 50.6914566893424, ""BP_0016"": 50.80755646258503}","{""BP_0014"": [50.20476734693877, 50.50476734693877], ""BP_0015"": [50.541456689342404, 50.8414566893424], ""BP_0016"": [50.657556462585035, 50.95755646258503]}",82,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
