event_id,cohort,take,string,condition,hypothesis_set_id,BP_ids,status,successful_windows,distinct_selected_coordinates,selected_s,GT_onset_s,signed_error_ms,absolute_error_ms,catastrophic_wrong_event,prior_union_error_ms,prior_catastrophic,previous_catastrophic_outcome
GAL09_20260914_S1_G_MF_R07,masked_holdout,20260914_0031,G,mf,RG0048,T04_N027;T04_N080;T04_N026;T04_N133;T04_N140;T04_N105;T04_N148;T04_N025;T04_N145;T04_N088;T04_N024;T04_N103;T04_N147;T04_N136;T04_N082;T04_N023;T04_N102;T04_N092;T04_N021;T04_N022;T04_N109;T04_N020,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,4,4,,96.286731292517,,,False,-5.914965986391962,False,
GAL09_20260914_S1_G_MF_R08,masked_holdout,20260914_0031,G,mf,RG0049,T04_N019;T04_N087;T04_N125;T04_N017;T04_N018;T04_N151;T04_N015;T04_N016;T04_N014;T04_N094;T04_N116;T04_N064;T04_N013;T04_N012,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,111.77460317460317,111.77980612244897,-5.202947845802441,5.202947845802441,False,-5.202947845802441,False,
GAL09_20260914_S1_G_MF_R09,masked_holdout,20260914_0031,G,mf,RG0050,T04_N011;T04_N081;T04_N010;T04_N130;T04_N009;T04_N124;T04_N008;T04_N115;T04_N007;T04_N006,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,126.37841269841269,126.38368027210885,-5.267573696158934,5.267573696158934,False,-5.267573696158934,False,
GAL09_20260914_S1_G_MF_R10,masked_holdout,20260914_0031,G,mf,RG0051,T04_N005;T04_N070;T04_N106;T04_N003;T04_N004;T04_N153;T04_N110;T04_N002;T04_N001;T04_N128;T04_N111;T04_N060;T04_N066;T04_N123,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,2,2,,140.0836553287982,,,False,-5.3786848072547855,False,
GAL09_20260914_S2_D_CN_R01,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0078,T07_N015;T07_N014,SHARED_ATTACK_IDENTITY_UNRESOLVED,2,1,2.5797732426303854,2.584026077097506,-4.252834467120437,4.252834467120437,False,-4.252834467120437,False,
GAL09_20260914_S2_D_CN_R02,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0079,T07_N013;T07_N025;T07_N035,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,2,2,,16.130236961451246,,,False,-4.250566893421848,False,
GAL09_20260914_S2_D_CN_R03,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0080,T07_N012;T07_N021;T07_N011,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,27.83138321995465,27.835951247165532,-4.56802721088323,4.56802721088323,False,-4.56802721088323,False,
GAL09_20260914_S2_D_CN_R04,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0081,T07_N010;T07_N022;T07_N032;T07_N028,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,3,3,,38.90980725623583,,,False,-4.591836734697097,False,
GAL09_20260914_S2_D_CN_R05,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0082,T07_N009;T07_N026;T07_N029,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,50.754285714285714,50.76001020408163,-5.724489795916554,5.724489795916554,False,-5.724489795916554,False,
GAL09_20260914_S2_D_CN_R06,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0083,T07_N008;T07_N007,SHARED_ATTACK_IDENTITY_UNRESOLVED,2,1,63.425487528344675,63.42985260770975,-4.365079365072688,4.365079365072688,False,-4.365079365072688,False,
GAL09_20260914_S2_D_CN_R07,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0084,T07_N006;T07_N019;T07_N034;T07_N023;T07_N033;T07_N005,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,76.90784580498865,76.91308843537415,-5.242630385495772,5.242630385495772,False,-5.242630385495772,False,
GAL09_20260914_S2_D_CN_R08,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0085,T07_N004;T07_N027,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,89.44834467120182,89.4532403628118,-4.895691609974051,4.895691609974051,False,-4.895691609974051,False,
GAL09_20260914_S2_D_CN_R09,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0086,T07_N003;T07_N002;T07_N020;T07_N031,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,3,2,,102.55956009070294,,,False,-5.002267573701147,False,
GAL09_20260914_S2_D_CN_R10,masked_holdout,20260914_0035,D,COMFORTABLE_NATURAL,RG0087,T07_N017;T07_N001;T07_N018;T07_N024;T07_N030;T07_N036,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,3,2,,116.82304535147392,,,False,-4.904761904754196,False,
GAL09_20260914_S3_E_F_R01,masked_holdout,20260914_0037,E,f,RG0099,T09_N029;T09_N028;T09_N027;T09_N047;T09_N045;T09_N071;T09_N037;T09_N053;T09_N065;T09_N026;T09_N025;T09_N050;T09_N024;T09_N054,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,6,5,,2.0068208616780043,,,False,-4.734693877550988,False,
GAL09_20260914_S3_E_F_R02,masked_holdout,20260914_0037,E,f,RG0100,T09_N023;T09_N022;T09_N068;T09_N062;T09_N021;T09_N020;T09_N056;T09_N048,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,15.124263038548753,15.12959410430839,-5.33106575963771,5.33106575963771,False,-5.33106575963771,False,
GAL09_20260914_S3_E_F_R03,masked_holdout,20260914_0037,E,f,RG0101,T09_N019;T09_N018;T09_N042;T09_N038;T09_N017,SHARED_ATTACK_IDENTITY_UNRESOLVED,2,1,26.200090702947847,26.205315192743765,-5.2244897959177194,5.2244897959177194,False,-5.2244897959177194,False,
GAL09_20260914_S3_E_F_R04,masked_holdout,20260914_0037,E,f,RG0102,T09_N016;T09_N015;T09_N014;T09_N040;T09_N061;T09_N049,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,5,4,,37.464410430839,,,False,9250.056689342407,True,ABSTAIN
GAL09_20260914_S3_E_F_R05,masked_holdout,20260914_0037,E,f,RG0103,T09_N013;T09_N012;T09_N043;T09_N033;T09_N011,SHARED_ATTACK_IDENTITY_UNRESOLVED,2,1,47.80897959183674,47.81432653061224,-5.346938775502963,5.346938775502963,False,-5.346938775510068,False,
GAL09_20260914_S3_E_F_R06,masked_holdout,20260914_0037,E,f,RG0104,T09_N010;T09_N041;T09_N035,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,59.50439909297052,59.5097074829932,-5.30839002267669,5.30839002267669,False,-5.30839002267669,False,
GAL09_20260914_S3_E_F_R07,masked_holdout,20260914_0037,E,f,RG0105,T09_N009;T09_N051;T09_N008;T09_N039;T09_N060;T09_N052,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,3,3,,70.75956462585035,,,False,-4.7346938775518765,False,
GAL09_20260914_S3_E_F_R08,masked_holdout,20260914_0037,E,f,RG0106,T09_N007;T09_N069;T09_N006;T09_N034,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,2,2,,81.15355102040816,,,False,-5.342403628119996,False,
GAL09_20260914_S3_E_F_R09,masked_holdout,20260914_0037,E,f,RG0107,T09_N005;T09_N004;T09_N003;T09_N066;T09_N058;T09_N064;T09_N070;T09_N032;T09_N067;T09_N055;T09_N059;T09_N044,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,3,2,,91.79951247165533,,,False,-5.498866213159204,False,
GAL09_20260914_S3_E_F_R10,masked_holdout,20260914_0037,E,f,RG0109,T09_N002;T09_N001;T09_N036;T09_N057,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,3,2,,103.00875056689343,,,False,5542.179138321998,True,ABSTAIN
GAL09_20260914_S3_A_F_R01,masked_holdout,20260914_0038,A,f,RG0112,T10_N015,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,2.0240362811791384,2.02878231292517,-4.746031746031498,4.746031746031498,False,-4.746031746031498,False,
GAL09_20260914_S3_A_F_R04,masked_holdout,20260914_0038,A,f,RG0114,T10_N009,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,47.60843537414966,47.61371655328798,-5.281179138322045,5.281179138322045,False,-5.281179138322045,False,
GAL09_20260914_S3_A_F_R05,masked_holdout,20260914_0038,A,f,RG0115,T10_N008;T10_N023,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,61.32426303854875,61.32950113378685,-5.238095238098595,5.238095238098595,False,-5.238095238098595,False,
GAL09_20260914_S3_A_F_R06,masked_holdout,20260914_0038,A,f,RG0116,T10_N007;T10_N020;T10_N021;T10_N025,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,2,2,,75.38784353741497,,,False,-5.530612244896815,False,
GAL09_20260914_S3_A_F_R08,masked_holdout,20260914_0038,A,f,RG0118,T10_N005;T10_N022,ATTACK_SELECTED_IDENTITY_UNRESOLVED,1,1,101.4819954648526,101.48722222222223,-5.2267573696269665,5.2267573696269665,False,-5.2267573696269665,False,
