quarter_ID,measure,beat,DMIG_time_s,DRUM_anchor_yes_no,DRUM_anchor_event_ID,DRUM_anchor_time_s,additional_DRUM_event_IDs,DMIG_minus_anchor_ms,support_context
Q180,M45,2,65.69798664940454,YES,F_MIX_00335,65.70086167800453,,-2.8750285999876724,DIRECT_SOFT_ANCHOR
Q181,M45,3,66.02752837239977,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q182,M45,4,66.35463830661223,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q183,M46,1,66.70314129899425,YES,F_MIX_00339,66.69931972789115,,3.821571103102883,DIRECT_SOFT_ANCHOR
Q184,M46,2,67.09686219649821,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q185,M46,3,67.49848070842671,YES,F_MIX_00343,67.5004081632653,,-1.9274548385936896,DIRECT_SOFT_ANCHOR
Q186,M46,4,67.87067654408241,YES,F_MIX_00345,67.87192743764173,,-1.2508935593160686,DIRECT_SOFT_ANCHOR
Q187,M47,1,68.20696869018532,YES,F_MIX_00347,68.20861678004535,F_MIX_00346,-1.6480898600264027,DIRECT_SOFT_ANCHOR
Q188,M47,2,68.52089043040456,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q189,M47,3,68.85234448616959,YES,F_MIX_00351,68.84716553287981,,5.178953289771471,DIRECT_SOFT_ANCHOR
Q190,M47,4,69.24123357890983,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q191,M48,1,69.64459717741836,YES,F_MIX_00355,69.64825396825397,,-3.656790835606216,DIRECT_SOFT_ANCHOR
Q192,M48,2,70.01947475048829,YES,F_MIX_00357,70.01977324263038,,-0.2984921420932096,DIRECT_SOFT_ANCHOR
Q193,M48,3,70.3814144202823,YES,F_MIX_00359,70.37968253968253,,1.731880599763258,DIRECT_SOFT_ANCHOR
Q194,M48,4,70.75074018323645,YES,F_MIX_00361,70.75120181405896,F_MIX_00360,-0.4616308225138255,DIRECT_SOFT_ANCHOR
