quarter_ID,measure,old_anchored_BMIG,old_anchored_DMIG,completion_BMIG,completion_DMIG,source_protocol_sha256,primary_included
Q131,M33,47.758097140592156,47.71601938403005,47.763533900226754,47.73442176870748,a968cfbf172c624c96cda30e4b4299b93b18b210777ec93fe0c8c5314ec9c344,NO
Q148,M37,54.06344008124746,54.0574949099553,54.07177626606198,54.05944066515495,a968cfbf172c624c96cda30e4b4299b93b18b210777ec93fe0c8c5314ec9c344,NO
Q162,M40,59.15933262100672,59.143400276881444,59.141545124716544,59.144126984126984,a968cfbf172c624c96cda30e4b4299b93b18b210777ec93fe0c8c5314ec9c344,NO
Q184,M46,67.00466970813375,67.09686219649821,67.08387755102041,67.09018896447468,a968cfbf172c624c96cda30e4b4299b93b18b210777ec93fe0c8c5314ec9c344,NO
