quarter_ID,measure,beat,PLP_time_s,BMIG_time_s,DMIG_time_s,GRID_DELTA_ms,MIDPOINT_time_s,B_DISPLAY_ms,D_DISPLAY_ms,Bass_anchor,Bass_anchor_ID,Drum_anchor,Drum_anchor_ID,observed_count_measure,relation_status,primary_statistic_included,displayed,square_marker,coordinate_authority
Q131,M33,1,47.78666666666667,47.763533900226754,47.73442176870748,29.11213151927683,47.74897783446711,14.556065759638415,-14.556065759638415,YES,HF001,NO,,3,RECONSTRUCTED_CONTEXT_ONLY,NO,YES,YES,JGA_MEASURE_INTERNAL_PULSE_GRID_20260925
Q132,M33,2,48.15818594104309,48.169516738880375,48.12587704658398,43.63969229639508,48.14769689273218,21.81984614819754,-21.81984614819754,YES,HF002,YES,F_MIX_00253,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q133,M33,3,48.529705215419504,48.57074716705914,48.53573470913793,35.0124579212121,48.55324093809853,17.50622896060605,-17.50622896060605,YES,HF004,YES,F_MIX_00254,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q134,M33,4,48.901224489795915,48.92994367783088,48.905255771472866,24.68790635801099,48.91759972465187,12.343953179005496,-12.343953179005496,YES,HF006,YES,F_MIX_00255,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q135,M34,1,49.27274376417233,49.31781750854819,49.283391371063246,34.42613748494239,49.30060443980572,17.213068742471194,-17.213068742471194,YES,HF007,YES,F_MIX_00257,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q136,M34,2,49.64426303854875,49.67500599458027,49.654592138552374,20.413856027893473,49.66479906656632,10.206928013946737,-10.206928013946737,YES,HF008,YES,F_MIX_00259,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q137,M34,3,50.01578231292517,50.03946996264314,50.0187066315172,20.76333112594142,50.029088297080165,10.38166556297071,-10.38166556297071,YES,HF009,YES,F_MIX_00260,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q138,M34,4,50.387301587301586,50.365533283084574,50.3960774446649,-30.544161580323248,50.380805363874735,-15.272080790161624,15.272080790161624,YES,HF010,YES,F_MIX_00261,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q139,M35,1,50.758820861678004,,,,,,,NO,,YES,F_MIX_00262,1,UNSUPPORTED,NO,NO,NO,NONE
Q140,M35,2,51.1071201814059,51.17352971853769,51.13014793982315,43.38177871453297,51.15183882918042,21.690889357266485,-21.690889357266485,YES,HF011,YES,F_MIX_00264,1,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q141,M35,3,51.478639455782314,,,,,,,NO,,NO,,1,UNSUPPORTED,NO,NO,NO,NONE
Q142,M35,4,51.85015873015873,,,,,,,YES,HF013,NO,,1,UNSUPPORTED,NO,NO,NO,NONE
Q143,M36,1,52.22167800453515,52.290964160911145,52.245413494312594,45.550666598551004,52.268188827611866,22.775333299275502,-22.775333299275502,YES,HF014,YES,F_MIX_00270,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q144,M36,2,52.59319727891157,52.59098747432212,52.61563113096154,-24.643656639419476,52.60330930264183,-12.321828319709738,12.321828319709738,YES,HF015,YES,F_MIX_00272,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q145,M36,3,52.964716553287985,52.97462896062302,52.97512999724846,-0.5010366254367682,52.97487947893574,-0.2505183127183841,0.2505183127183841,YES,HF016,YES,F_MIX_00274,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q146,M36,4,53.336235827664396,53.34841612609383,53.32721831216219,21.197813931642884,53.33781721912801,10.598906965821442,-10.598906965821442,YES,HF017,YES,F_MIX_00275,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q147,M37,1,53.707755102040814,53.714246213622204,53.69434882851225,19.897385109956645,53.704297521067225,9.948692554978322,-9.948692554978322,YES,HF018,YES,F_MIX_00277,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q148,M37,2,54.07927437641723,54.07177626606198,54.05944066515495,12.335600907029232,54.06560846560846,6.167800453514616,-6.167800453514616,NO,,YES,F_MIX_00279,3,RECONSTRUCTED_CONTEXT_ONLY,NO,YES,YES,JGA_MEASURE_INTERNAL_PULSE_GRID_20260925
Q149,M37,3,54.427573696145124,54.41407304660466,54.42637065941684,-12.29761281217634,54.42022185301075,-6.14880640608817,6.14880640608817,YES,HF019,YES,F_MIX_00281,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q150,M37,4,54.79909297052154,54.78422042732892,54.787642368836856,-3.4219415079377313,54.78593139808289,-1.7109707539688657,1.7109707539688657,YES,HF020,YES,F_MIX_00283,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q151,M38,1,55.17061224489796,55.164158409893076,55.14722491780788,16.93349208519379,55.155691663850476,8.466746042596895,-8.466746042596895,YES,HF021,YES,F_MIX_00284,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q152,M38,2,55.54213151927438,55.53250935938032,55.50848317568918,24.02618369114151,55.52049626753475,12.013091845570756,-12.013091845570756,YES,HF022,YES,F_MIX_00285,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q153,M38,3,55.89043083900227,55.875374688026874,55.87745997090484,-2.0852828779638344,55.87641732946585,-1.0426414389819172,1.0426414389819172,YES,HF023,YES,F_MIX_00287,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q154,M38,4,56.26195011337869,56.23122306478659,56.24129271767763,-10.069652891040448,56.236257891232114,-5.034826445520224,5.034826445520224,YES,HF024,YES,F_MIX_00289,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q155,M39,1,56.610249433106574,56.60626057648721,56.60889308260091,-2.632506113698696,56.60757682954406,-1.316253056849348,1.316253056849348,YES,HF025,YES,F_MIX_00291,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q156,M39,2,56.98176870748299,56.94249842303087,56.94817178910838,-5.673366077509456,56.94533510606962,-2.836683038754728,2.836683038754728,YES,HF026,YES,F_MIX_00292,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q157,M39,3,57.330068027210885,57.21529331975333,57.248741168724365,-33.447848971036365,57.23201724423885,-16.723924485518182,16.723924485518182,YES,HF028,YES,F_MIX_00293,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
