note_id,role,family_id,possible_family_ids,harmonic_number,cents_error,reason,root_score,native_hypothesis
BP_0076,ROOT_HYPOTHESIS,HF052,"[""HF052""]",1,0.0,new observed pitch incompatible with active harmonic families,0.4216460883617401,"{""note_id"": ""BP_0076"", ""onset_s"": ""66.66544671201814"", ""offset_s"": ""66.8395963718821"", ""midi_pitch"": ""38"", ""amplitude"": ""0.4216460883617401"", ""pitch_bends"": ""[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"", ""onset"": 66.66544671201814, ""offset"": 66.8395963718821, ""pitch"": 38, ""amp"": 0.4216460883617401, ""frequency_hz"": 73.41619197935188}"
BP_0077,HARMONIC_HYPOTHESIS,HF052,"[""HF052""]",2,3.8441118045779003e-13,frequency-compatible active family; separate higher note remains alternative,0.46280160546302795,"{""note_id"": ""BP_0077"", ""onset_s"": ""66.78154648526078"", ""offset_s"": ""67.08468979591837"", ""midi_pitch"": ""50"", ""amplitude"": ""0.46280160546302795"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 66.78154648526078, ""offset"": 67.08468979591837, ""pitch"": 50, ""amp"": 0.46280160546302795, ""frequency_hz"": 146.8323839587038}"
BP_0078,POSSIBLE_ROOT_FRAGMENT,HF052,"[""HF052""]",1,0.0,same-MIDI current-family continuation within two output frames,0.58637535572052,"{""note_id"": ""BP_0078"", ""onset_s"": ""66.8395963718821"", ""offset_s"": ""67.22400952380953"", ""midi_pitch"": ""38"", ""amplitude"": ""0.58637535572052"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 66.8395963718821, ""offset"": 67.22400952380953, ""pitch"": 38, ""amp"": 0.58637535572052, ""frequency_hz"": 73.41619197935188}"
BP_0079,ROOT_HYPOTHESIS,HF053,"[""HF053""]",1,0.0,new observed pitch incompatible with active harmonic families,0.41476577520370483,"{""note_id"": ""BP_0079"", ""onset_s"": ""66.96859002267574"", ""offset_s"": ""67.17756961451246"", ""midi_pitch"": ""43"", ""amplitude"": ""0.41476577520370483"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 66.96859002267574, ""offset"": 67.17756961451246, ""pitch"": 43, ""amp"": 0.41476577520370483, ""frequency_hz"": 97.99885899543733}"
BP_0080,POSSIBLE_ROOT_FRAGMENT,HF053,"[""HF053""]",1,0.0,same-MIDI current-family continuation within two output frames,0.7004883885383606,"{""note_id"": ""BP_0080"", ""onset_s"": ""67.17756961451246"", ""offset_s"": ""67.44459909297052"", ""midi_pitch"": ""43"", ""amplitude"": ""0.7004883885383606"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 67.17756961451246, ""offset"": 67.44459909297052, ""pitch"": 43, ""amp"": 0.7004883885383606, ""frequency_hz"": 97.99885899543733}"
BP_0081,ROOT_HYPOTHESIS,HF054,"[""HF054""]",1,0.0,new observed pitch incompatible with active harmonic families,0.5823783874511719,"{""note_id"": ""BP_0081"", ""onset_s"": ""67.47942902494331"", ""offset_s"": ""67.68840861678004"", ""midi_pitch"": ""41"", ""amplitude"": ""0.5823783874511719"", ""pitch_bends"": ""[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]"", ""onset"": 67.47942902494331, ""offset"": 67.68840861678004, ""pitch"": 41, ""amp"": 0.5823783874511719, ""frequency_hz"": 87.30705785825097}"
BP_0082,ROOT_HYPOTHESIS,HF055,"[""HF055""]",1,0.0,new observed pitch incompatible with active harmonic families,0.7199775725603104,"{""note_id"": ""BP_0082"", ""onset_s"": ""67.80450839002268"", ""offset_s"": ""67.96704807256236"", ""midi_pitch"": ""35"", ""amplitude"": ""0.5272146463394165"", ""pitch_bends"": ""[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]"", ""onset"": 67.80450839002268, ""offset"": 67.96704807256236, ""pitch"": 35, ""amp"": 0.5272146463394165, ""frequency_hz"": 61.7354126570155}"
BP_0083,HARMONIC_HYPOTHESIS,HF055,"[""HF055""]",2,3.8441118045779003e-13,frequency-compatible active family; separate higher note remains alternative,0.3855258524417877,"{""note_id"": ""BP_0083"", ""onset_s"": ""67.8277283446712"", ""offset_s"": ""68.0483179138322"", ""midi_pitch"": ""47"", ""amplitude"": ""0.3855258524417877"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 67.8277283446712, ""offset"": 68.0483179138322, ""pitch"": 47, ""amp"": 0.3855258524417877, ""frequency_hz"": 123.47082531403103}"
BP_0084,POSSIBLE_ROOT_FRAGMENT,HF055,"[""HF055""]",1,0.0,same-MIDI current-family continuation within two output frames,0.6609545946121216,"{""note_id"": ""BP_0084"", ""onset_s"": ""67.96704807256236"", ""offset_s"": ""68.16441768707483"", ""midi_pitch"": ""35"", ""amplitude"": ""0.6609545946121216"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 67.96704807256236, ""offset"": 68.16441768707483, ""pitch"": 35, ""amp"": 0.6609545946121216, ""frequency_hz"": 61.7354126570155}"
BP_0085,ROOT_HYPOTHESIS,HF056,"[""HF056""]",1,0.0,new observed pitch incompatible with active harmonic families,0.5967406034469604,"{""note_id"": ""BP_0085"", ""onset_s"": ""68.16441768707483"", ""offset_s"": ""68.32695736961452"", ""midi_pitch"": ""34"", ""amplitude"": ""0.5967406034469604"", ""pitch_bends"": ""[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 68.16441768707483, ""offset"": 68.32695736961452, ""pitch"": 34, ""amp"": 0.5967406034469604, ""frequency_hz"": 58.27047018976124}"
BP_0086,HARMONIC_HYPOTHESIS,HF056,"[""HF056""]",2,0.0,frequency-compatible active family; separate higher note remains alternative,0.277983695268631,"{""note_id"": ""BP_0086"", ""onset_s"": ""68.19924761904763"", ""offset_s"": ""68.33856734693877"", ""midi_pitch"": ""46"", ""amplitude"": ""0.277983695268631"", ""pitch_bends"": ""[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 68.19924761904763, ""offset"": 68.33856734693877, ""pitch"": 46, ""amp"": 0.277983695268631, ""frequency_hz"": 116.54094037952248}"
