event_id,family,timestamp_s,sample_index,frame_index,previous_interval_s,source_identity,kind,timing_grid_ms
F_MIX_00000,F_MIX,0.7198185941043084,31744,62,,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00001,F_MIX,0.8359183673469388,36864,72,0.11609977324263043,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00002,F_MIX,0.8823582766439909,38912,76,0.04643990929705211,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00003,F_MIX,1.230657596371882,54272,106,0.3482993197278911,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00004,F_MIX,1.474467120181406,65024,127,0.24380952380952392,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00005,F_MIX,1.5789569160997732,69632,136,0.10448979591836727,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00006,F_MIX,1.7531065759637188,77312,151,0.1741496598639456,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00007,F_MIX,1.8692063492063493,82432,161,0.11609977324263054,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00008,F_MIX,1.9736961451247166,87040,170,0.10448979591836727,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00009,F_MIX,2.1942857142857144,96768,189,0.2205895691609978,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00010,F_MIX,2.3219954648526078,102400,200,0.12770975056689338,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00011,F_MIX,2.6238548752834467,115712,226,0.30185941043083897,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00012,F_MIX,2.705124716553288,119296,233,0.08126984126984116,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00013,F_MIX,2.9605442176870747,130560,255,0.25541950113378675,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00014,F_MIX,2.995374149659864,132096,258,0.034829931972789385,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00015,F_MIX,3.076643990929705,135680,265,0.08126984126984116,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00016,F_MIX,3.308843537414966,145920,285,0.23219954648526064,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00017,F_MIX,3.436553287981859,151552,296,0.12770975056689338,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00018,F_MIX,3.6919727891156464,162816,318,0.2554195011337872,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00019,F_MIX,3.7964625850340137,167424,327,0.10448979591836727,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00020,F_MIX,4.0751020408163265,179712,351,0.27863945578231286,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00021,F_MIX,4.191201814058957,184832,361,0.1160997732426301,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00022,F_MIX,4.388571428571429,193536,378,0.19736961451247215,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00023,F_MIX,4.516281179138322,199168,389,0.12770975056689338,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00024,F_MIX,4.574331065759637,201728,394,0.058049886621314606,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00025,F_MIX,4.899410430839002,216064,422,0.3250793650793655,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00026,F_MIX,5.154829931972789,227328,444,0.25541950113378675,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00027,F_MIX,5.259319727891157,231936,453,0.10448979591836771,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00028,F_MIX,5.526349206349207,243712,476,0.26702947845805003,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00029,F_MIX,5.630839002267574,248320,485,0.10448979591836682,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00030,F_MIX,5.874648526077097,259072,506,0.24380952380952348,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
