event_id,take,string,condition,cohort,recovery_mode,native_BP_hypotheses,recovery_group_ids,region_start,region_end,search_intervals_json,candidate_context_count,selector_status,selected_timestamp,GT_onset,GT_lower,GT_upper,signed_error_ms,absolute_error_ms,catastrophic_wrong_event,interval_relation,notes
GAL09_20260914_S1_E_MF_R10,20260914_0028,E,mf,natural_ambiguous,BP_TEMPORAL_ONLY,5,RG0016,130.82433786848074,142.84650839002268,"[[130.82433786848074, 131.26494149659865], [134.21701904761903, 134.51701904761904], [135.5418403628118, 135.8418403628118], [142.54650839002267, 142.84650839002268]]",172,ATTACK_SELECTED_IDENTITY_UNRESOLVED,130.94204081632654,130.9466485260771,130.9456485260771,130.9476485260771,-4.607709750558797,4.607709750558797,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_A_MF_R03,20260914_0029,A,mf,natural_ambiguous,BP_TEMPORAL_ONLY,2,RG0021,37.12952743764172,39.52060725623583,"[[37.12952743764172, 37.42952743764172], [39.22060725623583, 39.52060725623583]]",101,ATTACK_SELECTED_IDENTITY_UNRESOLVED,37.24997732426304,37.25459750566893,37.253571428571426,37.25562358276644,-4.620181405890378,4.620181405890378,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_A_MF_R10,20260914_0029,A,mf,natural_ambiguous,BP_TEMPORAL_ONLY,2,RG0028,148.19280907029477,157.6014507936508,"[[148.19280907029477, 148.49280907029478], [157.3014507936508, 157.6014507936508]]",107,ATTACK_SELECTED_IDENTITY_UNRESOLVED,148.32253968253968,148.32748526077097,148.32648526077097,148.32848526077098,-4.945578231286163,4.945578231286163,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_D_MF_R10,20260914_0030,D,mf,natural_ambiguous,BP_TEMPORAL_ONLY,6,RG0040,152.17759909297052,167.4647410430839,"[[152.17759909297052, 152.47759909297054], [153.66496009070292, 153.96496009070293], [154.02486938775507, 154.3248693877551], [165.6657700680272, 165.9657700680272], [167.1647410430839, 167.4647410430839]]",268,ATTACK_SELECTED_IDENTITY_UNRESOLVED,152.32743764172335,152.33292176870748,152.33179818594104,152.33404535147392,-5.484126984129034,5.484126984129034,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S2_E_CN_R03,20260914_0033,E,COMFORTABLE_NATURAL,natural_ambiguous,BP_TEMPORAL_ONLY,3,RG0059,26.5812485260771,29.250967800453513,"[[26.5812485260771, 27.04378820861678], [28.950967800453515, 29.250967800453513]]",115,ATTACK_SELECTED_IDENTITY_UNRESOLVED,26.870566893424037,26.875384353741495,26.8743537414966,26.876414965986395,-4.817460317458,4.817460317458,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S2_E_CN_R04,20260914_0033,E,COMFORTABLE_NATURAL,natural_ambiguous,BP_TEMPORAL_ONLY,6,RG0060,37.268847165532875,42.58820907029478,"[[37.268847165532875, 37.76621678004535], [39.686290249433114, 39.98629024943311], [40.10424943310658, 40.40424943310658], [42.28820907029478, 42.58820907029478]]",183,ATTACK_SELECTED_IDENTITY_UNRESOLVED,37.53732426303855,37.54161224489796,37.54061224489796,37.54261224489796,-4.287981859413037,4.287981859413037,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S2_A_CN_R01,20260914_0034,A,COMFORTABLE_NATURAL,natural_ambiguous,BP_TEMPORAL_ONLY,6,RG0068,2.428698866213152,29.100038095238094,"[[2.428698866213152, 2.728698866213152], [4.9609578231292515, 5.260957823129252], [8.051779591836734, 8.351779591836735], [15.847209977324264, 16.36779954648526], [28.800038095238097, 29.100038095238094]]",286,ATTACK_SELECTED_IDENTITY_UNRESOLVED,2.5857596371882083,2.5904943310657598,2.5894943310657594,2.5914943310657597,-4.7346938775514325,4.7346938775514325,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S2_A_CN_R10,20260914_0034,A,COMFORTABLE_NATURAL,natural_ambiguous,BP_TEMPORAL_ONLY,2,RG0076,127.27040090702945,136.2830195011338,"[[127.27040090702945, 127.57040090702947], [135.98301950113378, 136.2830195011338]]",104,ATTACK_SELECTED_IDENTITY_UNRESOLVED,127.40507936507937,127.40990589569161,127.40887074829932,127.4109410430839,-4.826530612234592,4.826530612234592,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S3_A_F_R02,20260914_0038,A,f,natural_ambiguous,BP_TEMPORAL_ONLY,5,RG0113,17.39133696145125,33.23575782312925,"[[17.39133696145125, 17.8306566893424], [26.093629478458052, 26.39362947845805], [32.796438095238095, 33.23575782312925]]",224,ATTACK_SELECTED_IDENTITY_UNRESOLVED,33.05351473922902,17.662951247165534,17.66175283446712,17.664149659863945,15390.56349206349,15390.56349206349,True,AFTER,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S3_A_F_R03,20260914_0038,A,f,natural_ambiguous,BP_TEMPORAL_ONLY,5,RG0113,17.39133696145125,33.23575782312925,"[[17.39133696145125, 17.8306566893424], [26.093629478458052, 26.39362947845805], [32.796438095238095, 33.23575782312925]]",224,ATTACK_SELECTED_IDENTITY_UNRESOLVED,33.05351473922902,33.05854421768707,33.057544217687074,33.059544217687076,-5.029478458048686,5.029478458048686,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S3_A_F_R07,20260914_0038,A,f,natural_ambiguous,BP_TEMPORAL_ONLY,2,RG0117,88.0842693877551,88.53519909297053,"[[88.0842693877551, 88.53519909297053]]",96,ATTACK_SELECTED_IDENTITY_UNRESOLVED,88.35482993197279,88.35957369614512,88.35799319727892,88.36115419501134,-4.743764172332021,4.743764172332021,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S3_A_F_R09,20260914_0038,A,f,natural_ambiguous,BP_TEMPORAL_ONLY,2,RG0119,114.36272879818594,119.87946031746031,"[[114.36272879818594, 114.66272879818595], [119.5794603174603, 119.87946031746031]]",117,ATTACK_SELECTED_IDENTITY_UNRESOLVED,114.48244897959184,114.48792063492064,114.48663265306122,114.48920861678005,-5.471655328804559,5.471655328804559,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S3_A_F_R10,20260914_0038,A,f,natural_ambiguous,BP_TEMPORAL_ONLY,3,RG0120,126.86276780045351,136.2830195011338,"[[126.86276780045351, 127.16276780045352], [134.4143886621315, 134.7143886621315], [135.98301950113378, 136.2830195011338]]",155,ATTACK_SELECTED_IDENTITY_UNRESOLVED,126.98004535147392,126.98481179138322,126.98381179138322,126.98581179138321,-4.766439909303699,4.766439909303699,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R01,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,14,RG0042,5.914259863945578,19.364457596371878,"[[5.914259863945578, 6.469679365079365], [7.26101723356009, 7.561017233560091], [8.051779591836734, 8.351779591836735], [9.700396371882086, 10.117780045351475], [11.373517006802722, 11.7431768707483], [12.199109297052154, 12.499109297052154], [12.651898412698413, 12.951898412698414], [13.046637641723356, 13.346637641723357], [17.891849886621316, 18.191849886621313], [18.25175918367347, 18.551759183673468], [19.06445759637188, 19.364457596371878]]",745,ATTACK_SELECTED_IDENTITY_UNRESOLVED,6.072834467120182,6.0779750566893425,6.076975056689342,6.078975056689343,-5.140589569160525,5.140589569160525,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R02,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,16,RG0043,19.715900226757373,33.003558276643986,"[[19.715900226757373, 20.28292970521542], [21.178757369614516, 21.606467120181406], [21.888249886621317, 22.188249886621314], [22.81704807256236, 23.11704807256236], [24.652708390022678, 24.952708390022675], [25.093887528344673, 25.39388752834467], [25.89625986394558, 26.451679365079364], [27.103697505668936, 27.693946938775508], [28.115049433106577, 28.415049433106574], [30.17129931972789, 30.471299319727887], [31.251027210884352, 31.55102721088435], [32.70355827664399, 33.003558276643986]]",833,ATTACK_SELECTED_IDENTITY_UNRESOLVED,19.874467120181407,19.880043083900226,19.878888888888888,19.881888888888888,-5.575963718818855,5.575963718818855,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R03,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,20,RG0044,34.95717777777778,47.06061814058957,"[[34.95717777777778, 35.512597278911564], [36.038189569161, 36.338189569160996], [36.47936870748299, 36.77936870748299], [37.58231655328798, 38.01131020408163], [38.58205850340136, 38.88205850340136], [39.22060725623583, 39.52060725623583], [39.65146031746032, 40.009510204081636], [40.42932879818595, 40.729328798185946], [40.882117913832204, 41.1821179138322], [41.9050798185941, 42.2050798185941], [42.3462589569161, 42.890068480725624], [43.79879002267574, 44.098790022675736], [44.495388662131525, 44.79538866213152], [44.971397732426304, 45.2713977324263], [46.73739818594104, 47.06061814058957]]",1034,ATTACK_SELECTED_IDENTITY_UNRESOLVED,35.10984126984127,35.11472789115646,35.113727891156465,35.11572789115646,-4.886621315193906,4.886621315193906,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R04,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,15,RG0045,49.21160725623583,61.570467120181405,"[[49.21160725623583, 49.75541678004535], [50.69896825396825, 50.99896825396825], [52.3372589569161, 52.6372589569161], [53.97554965986395, 54.27554965986395], [55.61384036281179, 55.91384036281179], [57.28567709750567, 57.690166893424035], [57.91389977324263, 58.21389977324263], [58.90074784580499, 59.20074784580499], [60.84089795918367, 61.14089795918367], [61.27046712018141, 61.570467120181405]]",768,ATTACK_SELECTED_IDENTITY_UNRESOLVED,49.35546485260771,49.36092517006803,49.359925170068024,49.36192517006803,-5.46031746031872,5.46031746031872,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R05,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,10,RG0046,63.52537052154195,78.26555963718822,"[[63.52537052154195, 63.82537052154195], [63.85044988662131, 64.15044988662132], [67.10252743764171, 67.40252743764172], [68.84530793650794, 69.26140770975057], [69.71734013605442, 70.01734013605443], [73.65569024943309, 73.9556902494331], [76.9425977324263, 77.46318730158731], [77.9655596371882, 78.26555963718822]]",477,ATTACK_SELECTED_IDENTITY_UNRESOLVED,63.68290249433107,63.68782879818594,63.6868843537415,63.6888843537415,-4.9263038548730265,4.9263038548730265,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R06,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,12,RG0047,79.81282993197279,94.79682857142858,"[[79.81282993197279, 80.39146938775511], [81.29890702947846, 81.59890702947847], [81.85746984126983, 82.15746984126984], [83.49576054421767, 83.83059047619048], [84.14591927437641, 84.44591927437642], [85.23725714285713, 85.74752063492065], [88.88535782312925, 89.18535782312927], [94.49682857142857, 94.79682857142858]]",678,ATTACK_SELECTED_IDENTITY_UNRESOLVED,79.96489795918367,79.9695850340136,79.96850793650793,79.97066213151928,-4.687074829931248,4.687074829931248,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R07,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,22,RG0048,96.12350929705215,111.44548117913833,"[[96.12350929705215, 96.42350929705216], [96.44858866213151, 96.74858866213152], [98.26102902494331, 98.56102902494332], [98.56288843537415, 98.86288843537416], [99.17821723356009, 99.4782172335601], [99.89931972789114, 100.19931972789115], [101.38668072562358, 101.9304902494331], [102.2574290249433, 102.55742902494332], [104.8245179138322, 105.159347845805], [105.87069977324263, 106.17069977324265], [106.49763854875283, 106.79763854875284], [108.1010993197279, 108.63329886621317], [109.1821111111111, 109.48211111111111], [109.73939002267572, 110.13226984126985], [111.14548117913832, 111.44548117913833]]",1131,ATTACK_SELECTED_IDENTITY_UNRESOLVED,96.28081632653061,96.286731292517,96.28558049886621,96.2878820861678,-5.914965986391962,5.914965986391962,False,BEFORE,One frozen operational BP activity component; exact original selector output
GAL09_20260914_S1_G_MF_R08,20260914_0031,G,mf,masked_holdout,BP_TEMPORAL_ONLY,14,RG0049,111.6214902494331,123.16636780045351,"[[111.6214902494331, 111.9214902494331], [112.14393922902494, 112.44393922902495], [112.6896081632653, 112.98960816326532], [113.02629750566892, 113.32629750566893], [114.36272879818594, 114.66272879818595], [114.66458820861678, 114.96458820861679], [116.30287891156462, 116.66092879818595], [118.02243945578232, 118.32243945578233], [119.5794603174603, 119.87946031746031], [122.8663678004535, 123.16636780045351]]",803,ATTACK_SELECTED_IDENTITY_UNRESOLVED,111.77460317460317,111.77980612244897,111.77872562358277,111.78088662131519,-5.202947845802441,5.202947845802441,False,BEFORE,One frozen operational BP activity component; exact original selector output
