GT_event_id,take,string,condition,expected_pitch,GT_onset,GT_lower_bound,GT_upper_bound,matched_BP_event_id,BP_MIDI_pitch,BP_onset,BP_offset,match_classification,signed_error_ms,absolute_error_ms,interval_relation,notes,candidate_ids,source_wav,clip_id
GAL09_20260914_S1_A_MF_R02,20260914_0029,A,mf,33,21.487975056689343,21.486893424036282,21.489056689342405,T02_N013,33,21.514517006802723,34.44540907029479,CORRECT_PITCH_MATCH,26.541950113379897,26.541950113379897,AFTER,"1 exact-pitch, 0 octave-equivalent, 1 total persistent hypotheses; no timing-error ranking",T02_N013,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R03,20260914_0029,A,mf,33,37.25459750566893,37.253571428571426,37.25562358276644,,,,,MULTIPLE_BP_CANDIDATES,,,,"2 exact-pitch, 0 octave-equivalent, 2 total persistent hypotheses; no timing-error ranking",T02_N010;T02_N011,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R04,20260914_0029,A,mf,33,52.29025170068027,52.28907709750567,52.29142630385488,T02_N009,33,52.30149931972789,68.86759818594105,CORRECT_PITCH_MATCH,11.247619047615842,11.247619047615842,AFTER,"1 exact-pitch, 0 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T02_N009,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R05,20260914_0029,A,mf,33,69.14413832199547,69.14310657596371,69.14617006802722,T02_N008,33,69.15784761904762,82.00746984126984,CORRECT_PITCH_MATCH,13.709297052145075,13.709297052145075,AFTER,"1 exact-pitch, 0 octave-equivalent, 1 total persistent hypotheses; no timing-error ranking",T02_N008,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R06,20260914_0029,A,mf,33,87.08956235827664,87.08856235827665,87.09056235827664,T02_N006,33,87.11842766439909,103.39556099773243,CORRECT_PITCH_MATCH,28.86530612245508,28.86530612245508,AFTER,"1 exact-pitch, 0 octave-equivalent, 1 total persistent hypotheses; no timing-error ranking",T02_N006,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R07,20260914_0029,A,mf,33,103.8761814058957,103.87518140589569,103.8771814058957,T02_N005,33,103.88318004535148,118.40463900226759,CORRECT_PITCH_MATCH,6.99863945578727,6.99863945578727,AFTER,"1 exact-pitch, 0 octave-equivalent, 1 total persistent hypotheses; no timing-error ranking",T02_N005,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R08,20260914_0029,A,mf,33,118.7730589569161,118.77193424036281,118.7741836734694,T02_N004,33,118.78776825396827,133.2756811791383,CORRECT_PITCH_MATCH,14.709297052164061,14.709297052164061,AFTER,"1 exact-pitch, 0 octave-equivalent, 1 total persistent hypotheses; no timing-error ranking",T02_N004,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R09,20260914_0029,A,mf,33,133.66902040816328,133.66802040816327,133.67002040816325,T02_N003,33,133.6820303854875,147.86679999999998,CORRECT_PITCH_MATCH,13.009977324230704,13.009977324230704,AFTER,"1 exact-pitch, 0 octave-equivalent, 1 total persistent hypotheses; no timing-error ranking",T02_N003,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_A_MF_R10,20260914_0029,A,mf,33,148.32748526077097,148.32648526077097,148.32848526077098,,,,,MULTIPLE_BP_CANDIDATES,,,,"2 exact-pitch, 0 octave-equivalent, 2 total persistent hypotheses; no timing-error ranking",T02_N001;T02_N002,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0029 [2026-09-14 171327].wav,T02
GAL09_20260914_S1_D_MF_R01,20260914_0030,D,mf,38,5.787151927437642,5.786151927437642,5.788151927437641,T03_N014,38,5.784336507936508,21.328757369614515,CORRECT_PITCH_MATCH,-2.8154195011342864,2.8154195011342864,BEFORE,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N014,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R02,20260914_0030,D,mf,38,21.94481746031746,21.9435873015873,21.9465873015873,T03_N013,38,21.922150113378684,38.04706984126984,CORRECT_PITCH_MATCH,-22.667346938774813,22.667346938774813,BEFORE,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N013,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R03,20260914_0030,D,mf,38,38.667258503401364,38.66625850340136,38.66825850340136,T03_N012,38,38.65078866213152,55.135617687074834,CORRECT_PITCH_MATCH,-16.46984126984563,16.46984126984563,BEFORE,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N012,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R04,20260914_0030,D,mf,38,55.830024943310654,55.82902494331066,55.83102494331066,T03_N011,38,55.81028027210884,70.52910884353741,CORRECT_PITCH_MATCH,-19.744671201813446,19.744671201813446,BEFORE,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N011,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R05,20260914_0030,D,mf,38,70.94641383219955,70.94519727891156,70.94763038548753,T03_N010,38,70.94706802721089,86.70046848072562,CORRECT_PITCH_MATCH,0.6541950113359007,0.6541950113359007,INSIDE,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N010,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
