measure,measure_grid_delta_ms
M33,38.54510724166005
M34,20.588593576917447
M35,23.18063460608144
M36,10.348388653103058
M37,1.2616148921082981
M38,7.424104603614978
M39,-19.56060752427291
M40,82.80268715716943
M41,14.140956029685015
M42,93.51784166184274
M43,81.77837115592723
M44,117.82570381797797
M45,11.209153734476729
M46,15.13977380486864
M47,20.48445035061519
M48,-12.551711139067834
