measure,old_measure_delta_ms,anchored_measure_delta_ms,signed_change_ms
M34,-0.04278155707027054,20.588593576917447,20.631375133987717
M36,17.354497354492793,10.348388653103058,-7.006108701389735
M38,3.199546485262772,7.424104603614978,4.224558118352206
M39,-49.481632653055385,-19.56060752427291,29.921025128782475
M44,102.1617535903303,117.82570381797797,15.66395022764766
M48,-8.934240362812318,-12.551711139067834,-3.617470776255516
