instrument,event_ID,original_time_s,quarter_ID,Bass_provenance,role,PLP_indexing_offset_ms
DRUM,F_MIX_00255,48.901224489795915,Q134,,QUARTER_FIT_OBSERVATION,0E-15
DRUM,F_MIX_00257,49.284353741496595,Q135,,QUARTER_FIT_OBSERVATION,11.609977324265000
DRUM,F_MIX_00258,49.31918367346939,Q135,,ADDITIONAL_EVENT,46.43990929706000
DRUM,F_MIX_00256,49.191473922902496,Q135,,ADDITIONAL_EVENT,-81.269841269834000
DRUM,F_MIX_00259,49.65587301587301,Q136,,QUARTER_FIT_OBSERVATION,11.60997732426000
DRUM,F_MIX_00260,50.01578231292517,Q137,,QUARTER_FIT_OBSERVATION,0E-14
DRUM,F_MIX_00261,50.39891156462585,Q138,,QUARTER_FIT_OBSERVATION,11.609977324264000
DRUM,F_MIX_00262,50.758820861678004,Q139,,QUARTER_FIT_OBSERVATION,0E-15
DRUM,F_MIX_00264,51.13034013605442,Q140,,QUARTER_FIT_OBSERVATION,23.21995464852000
DRUM,F_MIX_00270,52.244897959183675,Q143,,QUARTER_FIT_OBSERVATION,23.219954648525000
DRUM,F_MIX_00269,52.186848072562356,Q143,,ADDITIONAL_EVENT,-34.829931972794000
DRUM,F_MIX_00272,52.61641723356009,Q144,,QUARTER_FIT_OBSERVATION,23.21995464852000
DRUM,F_MIX_00271,52.523537414965986,Q144,,ADDITIONAL_EVENT,-69.659863945584000
DRUM,F_MIX_00274,52.97632653061225,Q145,,QUARTER_FIT_OBSERVATION,11.609977324265000
DRUM,F_MIX_00275,53.324625850340134,Q146,,QUARTER_FIT_OBSERVATION,-11.609977324262000
DRUM,F_MIX_00277,53.69614512471655,Q147,,QUARTER_FIT_OBSERVATION,-11.609977324264000
DRUM,F_MIX_00276,53.614875283446715,Q147,,ADDITIONAL_EVENT,-92.879818594099000
DRUM,F_MIX_00279,54.05605442176871,Q148,,QUARTER_FIT_OBSERVATION,-23.21995464852000
DRUM,F_MIX_00281,54.427573696145124,Q149,,QUARTER_FIT_OBSERVATION,0E-15
DRUM,F_MIX_00280,54.34630385487528,Q149,,ADDITIONAL_EVENT,-81.269841269844000
DRUM,F_MIX_00283,54.78748299319728,Q150,,QUARTER_FIT_OBSERVATION,-11.60997732426000
DRUM,F_MIX_00284,55.147392290249435,Q151,,QUARTER_FIT_OBSERVATION,-23.219954648525000
DRUM,F_MIX_00285,55.50730158730159,Q152,,QUARTER_FIT_OBSERVATION,-34.82993197279000
DRUM,F_MIX_00287,55.878820861678,Q153,,QUARTER_FIT_OBSERVATION,-11.60997732427000
DRUM,F_MIX_00289,56.23873015873016,Q154,,QUARTER_FIT_OBSERVATION,-23.21995464853000
DRUM,F_MIX_00291,56.610249433106574,Q155,,QUARTER_FIT_OBSERVATION,0E-15
DRUM,F_MIX_00290,56.52897959183674,Q155,,ADDITIONAL_EVENT,-81.269841269834000
DRUM,F_MIX_00292,56.95854875283447,Q156,,QUARTER_FIT_OBSERVATION,-23.21995464852000
DRUM,F_MIX_00293,57.225578231292516,Q157,,QUARTER_FIT_OBSERVATION,-104.489795918369000
DRUM,F_MIX_00295,57.68997732426304,Q158,,QUARTER_FIT_OBSERVATION,11.60997732426000
DRUM,F_MIX_00296,57.96861678004535,Q159,,QUARTER_FIT_OBSERVATION,-58.049886621314000
DRUM,F_MIX_00297,58.10793650793651,Q159,,ADDITIONAL_EVENT,81.269841269846000
DRUM,F_MIX_00298,58.38657596371882,Q160,,QUARTER_FIT_OBSERVATION,-11.60997732426000
DRUM,F_MIX_00299,58.42140589569161,Q160,,ADDITIONAL_EVENT,23.21995464853000
DRUM,F_MIX_00300,58.700045351473925,Q161,,QUARTER_FIT_OBSERVATION,-46.439909297049000
DRUM,F_MIX_00301,58.792925170068024,Q161,,ADDITIONAL_EVENT,46.439909297050000
DRUM,F_MIX_00303,59.15283446712018,Q162,,QUARTER_FIT_OBSERVATION,34.82993197279000
DRUM,F_MIX_00305,59.5243537414966,Q163,,QUARTER_FIT_OBSERVATION,58.049886621315000
DRUM,F_MIX_00306,59.88426303854875,Q164,,QUARTER_FIT_OBSERVATION,46.43990929705000
DRUM,F_MIX_00317,61.61414965986395,Q169,,QUARTER_FIT_OBSERVATION,-81.269841269834000
DRUM,F_MIX_00321,62.43845804988662,Q171,,QUARTER_FIT_OBSERVATION,0E-14
DRUM,F_MIX_00326,63.54140589569161,Q174,,QUARTER_FIT_OBSERVATION,11.60997732426000
DRUM,F_MIX_00325,63.46013605442177,Q174,,ADDITIONAL_EVENT,-69.65986394558000
DRUM,F_MIX_00327,63.80843537414966,Q175,,QUARTER_FIT_OBSERVATION,-92.879818594106000
DRUM,F_MIX_00328,64.24961451247165,Q176,,QUARTER_FIT_OBSERVATION,-23.21995464853000
DRUM,F_MIX_00330,64.62113378684808,Q177,,QUARTER_FIT_OBSERVATION,0E-14
DRUM,F_MIX_00329,64.51664399092971,Q177,,ADDITIONAL_EVENT,-104.48979591837000
DRUM,F_MIX_00332,64.98104308390023,Q178,,QUARTER_FIT_OBSERVATION,-11.60997732426000
DRUM,F_MIX_00334,65.34095238095239,Q179,,QUARTER_FIT_OBSERVATION,0E-14
DRUM,F_MIX_00335,65.70086167800453,Q180,,QUARTER_FIT_OBSERVATION,11.60997732426000
DRUM,F_MIX_00339,66.69931972789115,Q183,,QUARTER_FIT_OBSERVATION,-81.26984126985000
DRUM,F_MIX_00343,67.5004081632653,Q185,,QUARTER_FIT_OBSERVATION,23.21995464852000
