instrument,from_quarter,to_quarter,duration_ms,implied_BPM,change_from_previous_duration_ms
BASS,Q131,Q132,411.4195982882194,145.83651398630525,
BASS,Q132,Q133,401.23042817876353,149.54000441179826,-10.189170109455858
BASS,Q133,Q134,359.19651077173853,167.03948451806838,-42.033917407025
BASS,Q134,Q135,387.87383071731085,154.68947695965866,28.67731994557232
BASS,Q135,Q136,357.1884860320793,167.97853891239754,-30.68534468523154
BASS,Q136,Q137,364.4639680628714,164.625327213827,7.275482030792091
BASS,Q137,Q138,326.0633204414347,184.01333801903914,-38.40064762143669
BASS,Q138,Q139,398.49435176186887,150.5667514099538,72.43103132043416
BASS,Q139,Q140,409.50208369124397,146.51940097388797,11.007731929375097
BASS,Q140,Q141,359.0865162295884,167.0906516624476,-50.41556746165554
BASS,Q141,Q142,356.52634778534775,168.29050748340185,-2.5601684442406736
BASS,Q142,Q143,401.82157835852195,149.3200047770095,45.295230573174194
BASS,Q143,Q144,300.0233134109749,199.9844589337343,-101.79826494754707
BASS,Q144,Q145,383.64148630090256,156.39601592237614,83.61817288992768
BASS,Q145,Q146,373.7871654708087,160.5191551305037,-9.854320830093855
BASS,Q146,Q147,365.83008752837287,164.01056677807165,-7.957077942435831
BASS,Q147,Q148,349.19386762525306,171.82432328505448,-16.63621990311981
BASS,Q148,Q149,350.6329653572067,171.11910723760704,1.4390977319536091
BASS,Q149,Q150,370.147380724255,162.09759443008892,19.514415367048343
BASS,Q150,Q151,379.937982564158,157.92051006605567,9.79060183990299
BASS,Q151,Q152,368.3509494872439,162.88813720589533,-11.58703307691411
BASS,Q152,Q153,342.8653286465533,174.99582193640728,-25.485620840690615
BASS,Q153,Q154,355.8483767597167,168.61113867189127,12.98304811316342
BASS,Q154,Q155,375.0375117006186,159.98399660857453,19.18913494090191
BASS,Q155,Q156,336.2378465436606,178.4451114494304,-38.799665156957985
BASS,Q156,Q157,272.79489672245916,219.94546349979504,-63.442949821201466
BASS,Q157,Q158,374.6549821784555,160.1473431665746,101.86008545599634
BASS,Q158,Q159,508.87101860431727,117.90807062379433,134.21603642586177
BASS,Q159,Q160,351.4520345019392,170.72030920244663,-157.4189841023781
BASS,Q160,Q161,352.9333457381725,170.00377188646738,1.4813112362332959
BASS,Q161,Q162,356.1279202305059,168.4787869515107,3.194574492333402
BASS,Q162,Q163,363.4566906842309,165.08156690428805,7.328770453725042
BASS,Q163,Q164,374.9196570993476,160.03428698352025,11.462966415116682
BASS,Q164,Q165,341.53409092407117,175.6779237986495,-33.38556617527644
BASS,Q165,Q166,377.5982148695789,158.89905629115273,36.06412394550773
BASS,Q166,Q167,432.8194453880698,138.62593429970195,55.22123051849093
BASS,Q167,Q168,321.90972473734547,186.38765899028232,-110.90972065072435
BASS,Q168,Q169,303.902975542087,197.43143315058032,-18.006749195258465
BASS,Q169,Q170,378.79919780231575,158.39526680125718,74.89622226022874
BASS,Q170,Q171,434.71527747209393,138.02137424041103,55.916079669778185
BASS,Q171,Q172,434.8539515414416,137.97735949579385,0.13867406934764404
BASS,Q172,Q173,379.2152200103729,158.2214975399953,-55.638731531068686
BASS,Q173,Q174,298.3313438609372,201.11865962018436,-80.88387614943571
BASS,Q174,Q175,331.22575778692465,181.14533241885616,32.894413925987465
BASS,Q175,Q176,477.89846178831397,125.54968219708796,146.67270400138932
BASS,Q176,Q177,340.6043889096111,176.1574482116338,-137.29407287870288
BASS,Q177,Q178,234.40675705171543,255.96531753034168,-106.19763185789566
BASS,Q178,Q179,340.616928908517,176.1509628786384,106.2101718568016
BASS,Q179,Q180,362.6005126233878,165.47136010896526,21.983583714870747
BASS,Q180,Q181,370.45089325910396,161.96478694420176,7.850380635716192
BASS,Q181,Q182,364.16807081570823,164.7590901245259,-6.28282244339573
BASS,Q182,Q183,332.73268680305534,180.32493463894045,-31.43538401265289
BASS,Q183,Q184,248.57683924879836,241.3740563333277,-84.15584755425698
BASS,Q184,Q185,476.07403642454926,126.03081749766692,227.4971971757509
BASS,Q185,Q186,437.94931100227075,137.00215639724777,-38.124725422278516
BASS,Q186,Q187,260.1712307748869,230.61735081660504,-177.77808022738384
BASS,Q187,Q188,335.17018114984864,179.01353812013207,74.99895037496174
BASS,Q188,Q189,431.80057395727545,138.95303438373082,96.6303928074268
BASS,Q189,Q190,343.22340108774085,174.81325518553945,-88.57717286953459
BASS,Q190,Q191,364.286616239923,164.70547454997185,21.063215152182124
BASS,Q191,Q192,354.20570582240885,169.393092809416,-10.080910417514133
BASS,Q192,Q193,360.6842193071458,166.35049937936472,6.478513484736936
BASS,Q193,Q194,357.240988971256,167.95385146811265,-3.44323033588978
